time_s,time_us,azimuth,elevation,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
1633360912,76414,0.0,-10.0,0,0,0,2021-10-04T18:21:52,1633360912.643369,2021-10-04T18:21:52
1633361088,380187,0.0,-10.0,0,0,0,2021-10-04T18:24:48,1633361088.9504209,2021-10-04T18:24:48
1633361296,982601,0.0,-10.0,0,0,0,2021-10-04T18:28:16,1633361297.559429,2021-10-04T18:28:17
1633361299,699889,0.0,-10.0,0,0,0,2021-10-04T18:28:19,1633361300.274916,2021-10-04T18:28:20
1633361302,788937,0.0,10.0,0,0,0,2021-10-04T18:28:22,1633361303.366544,2021-10-04T18:28:23
1633361305,32796,0.0,10.0,0,0,0,2021-10-04T18:28:25,1633361305.6350238,2021-10-04T18:28:25
1633361306,910840,0.0,10.0,0,0,0,2021-10-04T18:28:26,1633361307.4847798,2021-10-04T18:28:27
1633361309,221792,0.0,-10.0,0,0,0,2021-10-04T18:28:29,1633361309.7956119,2021-10-04T18:28:29
1633361310,766808,0.0,-10.0,0,0,0,2021-10-04T18:28:30,1633361311.3415718,2021-10-04T18:28:31
1633361312,730808,0.0,-10.0,0,0,0,2021-10-04T18:28:32,1633361313.3801808,2021-10-04T18:28:33
1633361315,508849,0.0,-10.0,0,0,0,2021-10-04T18:28:35,1633361316.084333,2021-10-04T18:28:36
1633361317,828844,0.0,10.0,0,0,0,2021-10-04T18:28:37,1633361318.4508119,2021-10-04T18:28:38
1633361327,312776,0.0,-10.0,0,0,0,2021-10-04T18:28:47,1633361327.886325,2021-10-04T18:28:47
1633361328,188888,0.0,-10.0,0,0,0,2021-10-04T18:28:48,1633361328.858108,2021-10-04T18:28:48
1633361339,718119,0.0,-10.0,0,0,0,2021-10-04T18:28:59,1633361340.2932038,2021-10-04T18:29:00
1633361341,864529,0.0,10.0,0,0,0,2021-10-04T18:29:01,1633361342.440749,2021-10-04T18:29:02
1633361342,952773,0.0,10.0,0,0,0,2021-10-04T18:29:02,1633361343.52706,2021-10-04T18:29:03
1633361344,404852,0.0,10.0,0,0,0,2021-10-04T18:29:04,1633361344.980741,2021-10-04T18:29:04
1633361346,31449,0.0,10.0,0,0,0,2021-10-04T18:29:06,1633361346.6062639,2021-10-04T18:29:06
1633361348,534192,0.0,-10.0,0,0,0,2021-10-04T18:29:08,1633361349.112869,2021-10-04T18:29:09
1633361349,318767,0.0,-10.0,0,0,0,2021-10-04T18:29:09,1633361349.895421,2021-10-04T18:29:09
1633361350,166790,-10.0,0.0,0,0,0,2021-10-04T18:29:10,1633361350.743733,2021-10-04T18:29:10
1633361352,278760,0.0,10.0,0,0,0,2021-10-04T18:29:12,1633361352.853641,2021-10-04T18:29:12
1633361354,44297,0.0,10.0,0,0,0,2021-10-04T18:29:14,1633361354.622201,2021-10-04T18:29:14
1633361354,64754,0.0,10.0,0,0,0,2021-10-04T18:29:14,1633361354.640981,2021-10-04T18:29:14
1633361356,160732,0.0,-10.0,0,0,0,2021-10-04T18:29:16,1633361356.7379599,2021-10-04T18:29:16
1633361356,544865,0.0,-10.0,0,0,0,2021-10-04T18:29:16,1633361357.124068,2021-10-04T18:29:17
1633361357,680518,0.0,-10.0,0,0,0,2021-10-04T18:29:17,1633361358.256276,2021-10-04T18:29:18
1633361359,960393,-10.0,0.0,0,0,0,2021-10-04T18:29:19,1633361360.537468,2021-10-04T18:29:20
1633361361,778733,10.0,0.0,0,0,0,2021-10-04T18:29:21,1633361362.3575199,2021-10-04T18:29:22
1633361363,314307,10.0,0.0,0,0,0,2021-10-04T18:29:23,1633361363.990332,2021-10-04T18:29:23
1633361366,314091,-10.0,0.0,0,0,0,2021-10-04T18:29:26,1633361367.128772,2021-10-04T18:29:27
1633361368,208688,0.0,10.0,0,0,0,2021-10-04T18:29:28,1633361368.7847009,2021-10-04T18:29:28
1633361403,426174,0.0,-10.0,0,0,0,2021-10-04T18:30:03,1633361404.2509918,2021-10-04T18:30:04
1633362204,545401,-1.0,0.0,0,0,0,2021-10-04T18:43:24,1633362205.147989,2021-10-04T18:43:25
1633362209,491741,-10.0,0.0,0,0,0,2021-10-04T18:43:29,1633362210.0997999,2021-10-04T18:43:30
