time_s,time_us,time_steady,state,pump_on,pump_on_time_steady,pump_off,pump_off_time_steady,valve_open,valve_open_time_steady,valve_close,valve_close_time_steady,seq,srcSystem,srcComponent,time_gregorian
1633358558,66900,1519577,1,213,1519551,141,1430751,10,1481551,18,1491751,65,13,0,1980-01-06T03:25:20
1633358559,67000,1520577,1,218,1520551,141,1430751,10,1481551,18,1491751,76,13,0,1980-01-06T03:25:21
1633358560,66900,1521577,1,223,1521551,141,1430751,10,1481551,18,1491751,87,13,0,1980-01-06T03:25:22
1633358561,66900,1522577,1,228,1522551,141,1430751,10,1481551,18,1491751,97,13,0,1980-01-06T03:25:23
1633358562,67000,1523577,1,233,1523551,141,1430751,10,1481551,18,1491751,109,13,0,1980-01-06T03:25:24
1633358563,66900,1524577,1,238,1524551,141,1430751,10,1481551,18,1491751,120,13,0,1980-01-06T03:25:25
1633358564,66900,1525577,1,243,1525551,141,1430751,10,1481551,18,1491751,130,13,0,1980-01-06T03:25:26
1633358565,67000,1526577,1,248,1526551,141,1430751,10,1481551,18,1491751,141,13,0,1980-01-06T03:25:27
1633358566,66900,1527577,1,253,1527551,141,1430751,10,1481551,18,1491751,152,13,0,1980-01-06T03:25:28
1633358567,66900,1528577,1,2,1528551,141,1430751,10,1481551,18,1491751,163,13,0,1980-01-06T03:25:29
1633358568,67000,1529577,1,7,1529551,141,1430751,10,1481551,18,1491751,174,13,0,1980-01-06T03:25:30
1633358569,66900,1530577,1,12,1530551,141,1430751,10,1481551,18,1491751,185,13,0,1980-01-06T03:25:31
1633358570,66900,1531577,1,17,1531551,141,1430751,10,1481551,18,1491751,195,13,0,1980-01-06T03:25:32
1633358571,67000,1532577,1,22,1532551,141,1430751,10,1481551,18,1491751,206,13,0,1980-01-06T03:25:33
1633358572,66900,1533577,1,27,1533551,141,1430751,10,1481551,18,1491751,218,13,0,1980-01-06T03:25:34
1633358573,66900,1534577,1,32,1534551,141,1430751,10,1481551,18,1491751,228,13,0,1980-01-06T03:25:35
1633358574,67000,1535577,1,37,1535551,141,1430751,10,1481551,18,1491751,239,13,0,1980-01-06T03:25:36
1633358575,66900,1536577,1,42,1536551,141,1430751,10,1481551,18,1491751,250,13,0,1980-01-06T03:25:37
1633358576,66900,1537577,1,47,1537551,141,1430751,10,1481551,18,1491751,4,13,0,1980-01-06T03:25:38
1633358577,67000,1538577,1,52,1538551,141,1430751,10,1481551,18,1491751,16,13,0,1980-01-06T03:25:39
1633358578,66900,1539577,1,57,1539551,141,1430751,10,1481551,18,1491751,27,13,0,1980-01-06T03:25:40
1633358579,66900,1540577,1,62,1540551,141,1430751,10,1481551,18,1491751,37,13,0,1980-01-06T03:25:41
1633358580,67000,1541577,1,67,1541551,141,1430751,10,1481551,18,1491751,48,13,0,1980-01-06T03:25:42
1633358581,66900,1542577,1,72,1542551,141,1430751,10,1481551,18,1491751,59,13,0,1980-01-06T03:25:43
1633358582,66900,1543577,1,77,1543551,141,1430751,10,1481551,18,1491751,70,13,0,1980-01-06T03:25:44
1633358583,67000,1544577,1,82,1544551,141,1430751,10,1481551,18,1491751,81,13,0,1980-01-06T03:25:45
1633358584,66900,1545577,1,87,1545551,141,1430751,10,1481551,18,1491751,92,13,0,1980-01-06T03:25:46
