time_s,time_us,time_steady,temperature,pressure,humidity,altitude,seq,srcSystem,srcComponent,time_gregorian
1633362803,644900,231132,0,30000,0,9177.1826171875,56,13,2,1980-01-06T03:03:50
1633362804,644900,232132,0,30000,0,9177.1826171875,67,13,2,1980-01-06T03:03:51
1633362805,644900,233132,0,30000,0,9177.1826171875,78,13,2,1980-01-06T03:03:52
1633362806,644900,234132,0,30000,0,9177.1826171875,92,13,2,1980-01-06T03:03:53
1633362807,644900,235132,0,30000,0,9177.1826171875,103,13,2,1980-01-06T03:03:54
1633362808,644900,236132,0,30000,0,9177.1826171875,114,13,2,1980-01-06T03:03:55
1633362809,644900,237132,0,30000,0,9177.1826171875,127,13,2,1980-01-06T03:03:56
1633362810,644900,238132,0,30000,0,9177.1826171875,138,13,2,1980-01-06T03:03:57
1633362811,645000,239132,0,30000,0,9177.1826171875,150,13,2,1980-01-06T03:03:58
1633362812,645000,240132,0,30000,0,9177.1826171875,163,13,2,1980-01-06T03:03:59
1633362813,644900,241132,0,30000,0,9177.1826171875,174,13,2,1980-01-06T03:04:00
1633362814,644900,242132,0,30000,0,9177.1826171875,185,13,2,1980-01-06T03:04:01
1633362815,644900,243132,0,30000,0,9177.1826171875,198,13,2,1980-01-06T03:04:02
1633362816,644900,244132,0,30000,0,9177.1826171875,210,13,2,1980-01-06T03:04:03
1633362817,644900,245132,0,30000,0,9177.1826171875,221,13,2,1980-01-06T03:04:04
1633362818,644900,246132,0,30000,0,9177.1826171875,234,13,2,1980-01-06T03:04:05
1633362819,644900,247132,0,30000,0,9177.1826171875,245,13,2,1980-01-06T03:04:06
1633362820,644900,248132,0,30000,0,9177.1826171875,0,13,2,1980-01-06T03:04:07
1633362821,644900,249132,0,30000,0,9177.1826171875,14,13,2,1980-01-06T03:04:08
1633362822,645000,250132,0,30000,0,9177.1826171875,25,13,2,1980-01-06T03:04:09
1633362823,645000,251132,0,30000,0,9177.1826171875,36,13,2,1980-01-06T03:04:10
1633362824,644900,252132,0,30000,0,9177.1826171875,49,13,2,1980-01-06T03:04:11
1633362825,644900,253132,0,30000,0,9177.1826171875,60,13,2,1980-01-06T03:04:12
1633362826,644900,254132,0,30000,0,9177.1826171875,72,13,2,1980-01-06T03:04:13
1633362827,644900,255132,0,30000,0,9177.1826171875,85,13,2,1980-01-06T03:04:14
1633362828,644900,256132,0,30000,0,9177.1826171875,96,13,2,1980-01-06T03:04:15
1633362829,644900,257132,0,30000,0,9177.1826171875,107,13,2,1980-01-06T03:04:16
1633362830,644900,258132,0,30000,0,9177.1826171875,120,13,2,1980-01-06T03:04:17
1633362831,644900,259132,0,30000,0,9177.1826171875,132,13,2,1980-01-06T03:04:18
1633362832,645000,260132,0,30000,0,9177.1826171875,143,13,2,1980-01-06T03:04:19
1633362833,645000,261132,0,30000,0,9177.1826171875,156,13,2,1980-01-06T03:04:20
1633362834,644900,262132,0,30000,0,9177.1826171875,167,13,2,1980-01-06T03:04:21
1633362835,644900,263132,0,30000,0,9177.1826171875,178,13,2,1980-01-06T03:04:22
1633362836,644900,264132,0,30000,0,9177.1826171875,192,13,2,1980-01-06T03:04:23
1633362837,644900,265132,0,30000,0,9177.1826171875,203,13,2,1980-01-06T03:04:24
1633362838,644900,266132,0,30000,0,9177.1826171875,214,13,2,1980-01-06T03:04:25
1633362839,644900,267132,0,30000,0,9177.1826171875,227,13,2,1980-01-06T03:04:26
1633362840,644900,268132,0,30000,0,9177.1826171875,238,13,2,1980-01-06T03:04:27
1633362841,644900,269132,0,30000,0,9177.1826171875,250,13,2,1980-01-06T03:04:28
1633362842,645000,270132,0,30000,0,9177.1826171875,7,13,2,1980-01-06T03:04:29
1633362843,645000,271132,0,30000,0,9177.1826171875,18,13,2,1980-01-06T03:04:30
1633362844,644900,272132,0,30000,0,9177.1826171875,29,13,2,1980-01-06T03:04:31
1633362845,644900,273132,0,30000,0,9177.1826171875,42,13,2,1980-01-06T03:04:32
1633362846,644900,274132,0,30000,0,9177.1826171875,54,13,2,1980-01-06T03:04:33
1633362847,644900,275132,0,30000,0,9177.1826171875,65,13,2,1980-01-06T03:04:34
1633362848,644900,276132,0,30000,0,9177.1826171875,78,13,2,1980-01-06T03:04:35
1633362849,644900,277132,0,30000,0,9177.1826171875,89,13,2,1980-01-06T03:04:36
1633362850,644900,278132,0,30000,0,9177.1826171875,100,13,2,1980-01-06T03:04:37
1633362851,644900,279132,0,30000,0,9177.1826171875,114,13,2,1980-01-06T03:04:38
1633362852,645000,280132,0,30000,0,9177.1826171875,125,13,2,1980-01-06T03:04:39
1633362853,645000,281132,0,30000,0,9177.1826171875,136,13,2,1980-01-06T03:04:40
1633362854,644900,282132,0,30000,0,9177.1826171875,149,13,2,1980-01-06T03:04:41
1633362855,644900,283132,0,30000,0,9177.1826171875,160,13,2,1980-01-06T03:04:42
1633362856,644900,284132,0,30000,0,9177.1826171875,172,13,2,1980-01-06T03:04:43
1633362857,644900,285132,0,30000,0,9177.1826171875,185,13,2,1980-01-06T03:04:44
1633362858,644900,286132,0,30000,0,9177.1826171875,196,13,2,1980-01-06T03:04:45
1633362859,644900,287132,0,30000,0,9177.1826171875,207,13,2,1980-01-06T03:04:46
1633362860,644900,288132,0,30000,0,9177.1826171875,220,13,2,1980-01-06T03:04:47
1633362861,644900,289132,0,30000,0,9177.1826171875,232,13,2,1980-01-06T03:04:48
1633362862,645000,290132,0,30000,0,9177.1826171875,243,13,2,1980-01-06T03:04:49
1633362863,645000,291132,0,30000,0,9177.1826171875,0,13,2,1980-01-06T03:04:50
1633362864,644900,292132,0,30000,0,9177.1826171875,11,13,2,1980-01-06T03:04:51
1633362865,644900,293132,0,30000,0,9177.1826171875,22,13,2,1980-01-06T03:04:52
1633362866,644900,294132,0,30000,0,9177.1826171875,36,13,2,1980-01-06T03:04:53
1633362867,644900,295132,0,30000,0,9177.1826171875,47,13,2,1980-01-06T03:04:54
1633362868,644900,296132,0,30000,0,9177.1826171875,58,13,2,1980-01-06T03:04:55
1633362869,644900,297132,0,30000,0,9177.1826171875,71,13,2,1980-01-06T03:04:56
1633362870,644900,298132,0,30000,0,9177.1826171875,82,13,2,1980-01-06T03:04:57
1633362871,818500,299132,0,30000,0,9177.1826171875,94,13,2,1980-01-06T03:04:58
1633362872,818500,300132,0,30000,0,9177.1826171875,107,13,2,1980-01-06T03:04:59
1633362873,818500,301132,0,30000,0,9177.1826171875,118,13,2,1980-01-06T03:05:00
1633362874,818400,302132,0,30000,0,9177.1826171875,129,13,2,1980-01-06T03:05:01
1633362875,818400,303132,0,30000,0,9177.1826171875,142,13,2,1980-01-06T03:05:02
1633362876,818400,304132,0,30000,0,9177.1826171875,154,13,2,1980-01-06T03:05:03
1633362877,818400,305132,0,30000,0,9177.1826171875,165,13,2,1980-01-06T03:05:04
1633362878,818400,306132,0,30000,0,9177.1826171875,178,13,2,1980-01-06T03:05:05
1633362879,818400,307132,0,30000,0,9177.1826171875,189,13,2,1980-01-06T03:05:06
1633362880,818400,308132,0,30000,0,9177.1826171875,200,13,2,1980-01-06T03:05:07
1633362881,818500,309132,0,30000,0,9177.1826171875,214,13,2,1980-01-06T03:05:08
1633362882,818500,310132,0,30000,0,9177.1826171875,225,13,2,1980-01-06T03:05:09
1633362883,818400,311132,0,30000,0,9177.1826171875,236,13,2,1980-01-06T03:05:10
1633362884,818400,312132,0,30000,0,9177.1826171875,249,13,2,1980-01-06T03:05:11
1633362885,818400,313132,0,30000,0,9177.1826171875,4,13,2,1980-01-06T03:05:12
1633362886,818400,314132,0,30000,0,9177.1826171875,16,13,2,1980-01-06T03:05:13
1633362887,818400,315132,0,30000,0,9177.1826171875,29,13,2,1980-01-06T03:05:14
1633362888,818400,316132,0,30000,0,9177.1826171875,40,13,2,1980-01-06T03:05:15
1633362889,818400,317132,0,30000,0,9177.1826171875,51,13,2,1980-01-06T03:05:16
1633362890,818400,318132,0,30000,0,9177.1826171875,64,13,2,1980-01-06T03:05:17
1633362891,818500,319132,0,30000,0,9177.1826171875,76,13,2,1980-01-06T03:05:18
1633362892,818500,320132,0,30000,0,9177.1826171875,87,13,2,1980-01-06T03:05:19
1633362893,818400,321132,0,30000,0,9177.1826171875,100,13,2,1980-01-06T03:05:20
1633362894,818400,322132,0,30000,0,9177.1826171875,111,13,2,1980-01-06T03:05:21
1633362895,818400,323132,0,30000,0,9177.1826171875,122,13,2,1980-01-06T03:05:22
1633362896,818400,324132,0,30000,0,9177.1826171875,136,13,2,1980-01-06T03:05:23
1633362897,818400,325132,0,30000,0,9177.1826171875,147,13,2,1980-01-06T03:05:24
1633362898,818400,326132,0,30000,0,9177.1826171875,158,13,2,1980-01-06T03:05:25
1633362899,818400,327132,0,30000,0,9177.1826171875,171,13,2,1980-01-06T03:05:26
1633362900,818400,328132,0,30000,0,9177.1826171875,182,13,2,1980-01-06T03:05:27
1633362901,818400,329132,0,30000,0,9177.1826171875,194,13,2,1980-01-06T03:05:28
1633362902,818500,330132,0,30000,0,9177.1826171875,207,13,2,1980-01-06T03:05:29
1633362903,818400,331132,0,30000,0,9177.1826171875,218,13,2,1980-01-06T03:05:30
1633362904,818400,332132,0,30000,0,9177.1826171875,229,13,2,1980-01-06T03:05:31
1633362905,818400,333132,0,30000,0,9177.1826171875,242,13,2,1980-01-06T03:05:32
1633362906,818400,334132,0,30000,0,9177.1826171875,254,13,2,1980-01-06T03:05:33
1633362907,818400,335132,0,30000,0,9177.1826171875,9,13,2,1980-01-06T03:05:34
1633362908,818400,336132,0,30000,0,9177.1826171875,22,13,2,1980-01-06T03:05:35
1633362909,818400,337132,0,30000,0,9177.1826171875,33,13,2,1980-01-06T03:05:36
1633362910,818400,338132,0,30000,0,9177.1826171875,44,13,2,1980-01-06T03:05:37
1633362911,818400,339132,0,30000,0,9177.1826171875,58,13,2,1980-01-06T03:05:38
1633362912,818500,340132,0,30000,0,9177.1826171875,69,13,2,1980-01-06T03:05:39
1633362913,818500,341132,0,30000,0,9177.1826171875,80,13,2,1980-01-06T03:05:40
1633362914,818400,342132,0,30000,0,9177.1826171875,93,13,2,1980-01-06T03:05:41
1633362915,818400,343132,0,30000,0,9177.1826171875,104,13,2,1980-01-06T03:05:42
1633362916,818400,344132,0,30000,0,9177.1826171875,116,13,2,1980-01-06T03:05:43
1633362917,818400,345132,0,30000,0,9177.1826171875,129,13,2,1980-01-06T03:05:44
1633362918,818400,346132,0,30000,0,9177.1826171875,140,13,2,1980-01-06T03:05:45
1633362919,818400,347132,0,30000,0,9177.1826171875,151,13,2,1980-01-06T03:05:46
1633362920,818400,348132,0,30000,0,9177.1826171875,164,13,2,1980-01-06T03:05:47
1633362921,818400,349132,0,30000,0,9177.1826171875,176,13,2,1980-01-06T03:05:48
1633362922,818500,350132,0,30000,0,9177.1826171875,187,13,2,1980-01-06T03:05:49
1633362923,818500,351132,0,30000,0,9177.1826171875,200,13,2,1980-01-06T03:05:50
1633362924,818400,352132,0,30000,0,9177.1826171875,211,13,2,1980-01-06T03:05:51
1633362925,818400,353132,0,30000,0,9177.1826171875,222,13,2,1980-01-06T03:05:52
1633362926,818400,354132,0,30000,0,9177.1826171875,236,13,2,1980-01-06T03:05:53
1633362927,818400,355132,0,30000,0,9177.1826171875,247,13,2,1980-01-06T03:05:54
1633362928,818400,356132,0,30000,0,9177.1826171875,2,13,2,1980-01-06T03:05:55
1633362929,818400,357132,0,30000,0,9177.1826171875,15,13,2,1980-01-06T03:05:56
1633362930,818400,358132,0,30000,0,9177.1826171875,26,13,2,1980-01-06T03:05:57
1633362931,818400,359132,0,30000,0,9177.1826171875,38,13,2,1980-01-06T03:05:58
1633362932,818400,360132,0,30000,0,9177.1826171875,51,13,2,1980-01-06T03:05:59
1633362933,818500,361132,0,30000,0,9177.1826171875,62,13,2,1980-01-06T03:06:00
1633362934,818500,362132,0,30000,0,9177.1826171875,73,13,2,1980-01-06T03:06:01
1633362935,818400,363132,0,30000,0,9177.1826171875,86,13,2,1980-01-06T03:06:02
1633362936,818400,364132,0,30000,0,9177.1826171875,98,13,2,1980-01-06T03:06:03
1633362937,818400,365132,0,30000,0,9177.1826171875,109,13,2,1980-01-06T03:06:04
1633362938,818400,366132,0,30000,0,9177.1826171875,122,13,2,1980-01-06T03:06:05
1633362939,818400,367132,0,30000,0,9177.1826171875,133,13,2,1980-01-06T03:06:06
1633362940,818400,368132,0,30000,0,9177.1826171875,144,13,2,1980-01-06T03:06:07
1633362941,818400,369132,0,30000,0,9177.1826171875,158,13,2,1980-01-06T03:06:08
1633362942,818400,370132,0,30000,0,9177.1826171875,169,13,2,1980-01-06T03:06:09
1633362943,818500,371132,0,30000,0,9177.1826171875,180,13,2,1980-01-06T03:06:10
1633362944,818500,372132,0,30000,0,9177.1826171875,193,13,2,1980-01-06T03:06:11
1633362945,818400,373132,0,30000,0,9177.1826171875,204,13,2,1980-01-06T03:06:12
1633362946,818400,374132,0,30000,0,9177.1826171875,216,13,2,1980-01-06T03:06:13
