time_s,time_us,cookie,snr,frame_no,tap_bytes,rssi_bytes,crc_bytes,time_gregorian,log_timestamp,log_timestamp_gregorian
1633357830,7232830,850,13,885,00000000000000000000000000,0d00c890e0,7438,2021-10-04T17:30:37,1633357830.725322,2021-10-04T17:30:30
1633357831,2119126,851,5,886,00000000000000000000000000,0500c890e0,395e,2021-10-04T17:30:33,1633357831.213782,2021-10-04T17:30:31
1633357836,2644762,852,12,891,00000000000000000000000000,0c00c890e0,1e7b,2021-10-04T17:30:38,1633357836.266912,2021-10-04T17:30:36
1633357836,8726625,853,11,892,00000000000000000000000000,0b00c890e0,359c,2021-10-04T17:30:44,1633357836.875062,2021-10-04T17:30:36
1633357838,794327,854,13,893,00000000000000000000000000,0d00c890e0,90c0,2021-10-04T17:30:38,1633357838.081556,2021-10-04T17:30:38
1633357844,8861222,855,12,902,00000000000000000000000000,0c00c890e0,051f,2021-10-04T17:30:52,1633357844.88816,2021-10-04T17:30:44
1633357847,6094853,856,11,903,00000000000000000000000000,0b00c890e0,c81a,2021-10-04T17:30:53,1633357847.611423,2021-10-04T17:30:47
1633357856,906119,857,11,914,00000000000000000000000000,0b00c890e0,7fdc,2021-10-04T17:30:56,1633357856.092463,2021-10-04T17:30:56
1633357856,8161814,858,10,915,00000000000000000000000000,0a00c890e0,6bd4,2021-10-04T17:31:04,1633357856.819333,2021-10-04T17:30:56
1633357866,2574894,859,9,924,00000000000000000000000000,0900c890e0,4750,2021-10-04T17:31:08,1633357866.259597,2021-10-04T17:31:06
1633357866,8056397,860,12,925,00000000000000000000000000,0c00cd90e0,e78b,2021-10-04T17:31:14,1633357866.80761,2021-10-04T17:31:06
1633357867,4594559,861,13,926,00000000000000000000000000,0d00c890e0,2731,2021-10-04T17:31:11,1633357867.461508,2021-10-04T17:31:07
1633357868,166609,862,10,927,00000000000000000000000000,0a00c890e0,dd74,2021-10-04T17:31:08,1633357868.020073,2021-10-04T17:31:08
1633357868,7235617,863,10,928,00000000000000000000000000,0a00c890e0,7754,2021-10-04T17:31:15,1633357868.72582,2021-10-04T17:31:08
1633357869,2116498,864,10,929,00000000000000000000000000,0a00c890e0,e1b3,2021-10-04T17:31:11,1633357869.213753,2021-10-04T17:31:09
1633357869,8127844,865,12,930,00000000000000000000000000,0c00c890e0,2a1a,2021-10-04T17:31:17,1633357869.815006,2021-10-04T17:31:09
1633357874,3850483,866,3,934,00000000000000000000000000,0300c899e0,9af3,2021-10-04T17:31:17,1633357874.387233,2021-10-04T17:31:14
1633357874,8724675,867,13,935,00000000000000000000000000,0d00c890e0,501a,2021-10-04T17:31:22,1633357874.874628,2021-10-04T17:31:14
1633357878,7819786,868,10,938,00000000000000000000000000,0a00c890e0,9d81,2021-10-04T17:31:25,1633357878.784224,2021-10-04T17:31:18
1633357879,2691638,869,13,939,00000000000000000000000000,0d00c890c0,01ce,2021-10-04T17:31:21,1633357879.271399,2021-10-04T17:31:19
1633357885,3462600,870,12,945,00000000000000000000000000,0c00c890e0,bf1c,2021-10-04T17:31:28,1633357885.348267,2021-10-04T17:31:25
