time_s,time_us,time_steady,temperature,pressure,humidity,altitude,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
315965738,120200,938152,0.13847219774454517,74672.3136357928,31.560433536110022,2502.072998046875,110,13,2,1980-01-06T03:15:38,1633357979.987764,2021-10-04T17:32:59
315965744,120200,944152,-0.016064046392330056,72109.61660922889,31.545593220921095,2779.312744140625,182,13,2,1980-01-06T03:15:44,1633357986.216888,2021-10-04T17:33:06
315965752,120200,952152,-0.21011750227107767,69093.81304552514,31.548405639359302,3116.01611328125,21,13,2,1980-01-06T03:15:52,1633357993.028972,2021-10-04T17:33:13
315965759,120200,959152,-0.44593687218693956,76337.38216676918,30.21475028567294,2326.055908203125,104,13,2,1980-01-06T03:15:59,1633358000.527173,2021-10-04T17:33:20
315965766,120200,966152,-0.8096244000116712,76829.32140996277,25.68084856247394,2274.6494140625,188,13,2,1980-01-06T03:16:06,1633358009.419441,2021-10-04T17:33:29
315965772,120200,972152,-0.8549245995923911,109604.58567727194,26.171661518532172,-667.4038696289062,3,13,2,1980-01-06T03:16:12,1633358012.9870849,2021-10-04T17:33:32
315965780,120200,980152,-0.9994995534621693,104048.95552986674,26.67054781930656,-224.31234741210938,97,13,2,1980-01-06T03:16:20,1633358022.427129,2021-10-04T17:33:42
315965786,120200,986152,-1.126725322433026,100165.93798747128,26.906995380744526,96.93508911132812,168,13,2,1980-01-06T03:16:26,1633358028.666957,2021-10-04T17:33:48
315965793,120200,993152,-1.3304146924652513,96270.81022171002,27.105370416391114,429.5120849609375,252,13,2,1980-01-06T03:16:33,1633358035.4568279,2021-10-04T17:33:55
315965800,120200,1000152,-1.525107890304548,92392.40497930588,27.286270170029802,771.7073364257812,79,13,2,1980-01-06T03:16:40,1633358041.6370208,2021-10-04T17:34:01
315965807,120200,1007152,-1.7063071250764323,89089.66138949405,27.4666630385047,1072.4366455078125,161,13,2,1980-01-06T03:16:47,1633358049.1472728,2021-10-04T17:34:09
315965813,120200,1013152,-1.883329432515802,86265.11317449858,27.60705240416099,1336.8973388671875,232,13,2,1980-01-06T03:16:53,1633358055.377121,2021-10-04T17:34:15
315965821,120200,1021152,-2.082198001428492,104651.96208549355,29.11465198823664,-273.3221435546875,72,13,2,1980-01-06T03:17:01,1633358062.256793,2021-10-04T17:34:22
315965827,120200,1027152,-2.239943196207969,99788.52225992,29.38979796977665,128.69537353515625,143,13,2,1980-01-06T03:17:07,1633358068.5368,2021-10-04T17:34:28
315965835,120200,1035152,-2.4298153584077,93737.95433429572,29.382033741716683,651.6888427734375,239,13,2,1980-01-06T03:17:15,1633358078.127373,2021-10-04T17:34:38
315965841,120200,1041152,-2.587881221011571,89890.5250775787,29.351015609697793,998.6937255859375,54,13,2,1980-01-06T03:17:21,1633358081.617153,2021-10-04T17:34:41
315965849,120300,1049152,-2.8175902665511785,85751.47088121844,29.321362549020034,1385.7427978515625,148,13,2,1980-01-06T03:17:29,1633358091.746917,2021-10-04T17:34:51
315965855,120200,1055152,-2.976940535729864,82791.16459862176,29.324345216094454,1671.982177734375,219,13,2,1980-01-06T03:17:35,1633358097.977233,2021-10-04T17:34:57
315965863,120200,1063152,-3.1632771892952407,79330.28571205212,29.339133928534284,2017.36279296875,58,13,2,1980-01-06T03:17:43,1633358104.7971559,2021-10-04T17:35:04
315965869,120300,1069152,-3.3100973521149855,77053.4770534393,29.37012824703305,2251.313232421875,130,13,2,1980-01-06T03:17:49,1633358111.0567079,2021-10-04T17:35:11
315965876,120200,1076152,-3.4649489952347494,74301.0602941876,29.401240187244227,2541.752685546875,212,13,2,1980-01-06T03:17:56,1633358117.896749,2021-10-04T17:35:17
315965883,120200,1083152,-3.627189541316966,71934.11446574789,29.455051962322116,2798.590087890625,40,13,2,1980-01-06T03:18:03,1633358126.0166838,2021-10-04T17:35:26
315965893,120200,1093152,-3.880991002166411,68667.03480707185,29.504806270658918,3164.62451171875,158,13,2,1980-01-06T03:18:13,1633358133.537353,2021-10-04T17:35:33
315965899,391500,1099152,-4.175592567574109,67050.96703389418,27.348697618426176,3350.936279296875,230,13,2,1980-01-06T03:18:19,1633358139.798745,2021-10-04T17:35:39
315965906,391500,1106152,-4.560468635862321,93798.9534371974,22.757976515983067,646.281494140625,56,13,2,1980-01-06T03:18:26,1633358148.8473039,2021-10-04T17:35:48
315965912,391600,1112152,-4.632431926667027,99801.85587607276,22.96932793204561,127.57174682617188,127,13,2,1980-01-06T03:18:32,1633358155.136977,2021-10-04T17:35:55
315965920,391500,1120152,-4.809448528723351,93461.8437691355,23.404114037050064,676.20263671875,223,13,2,1980-01-06T03:18:40,1633358162.00666,2021-10-04T17:36:02
315965926,391500,1126152,-4.958514873271542,88969.4113863183,23.690949524713375,1083.5560302734375,38,13,2,1980-01-06T03:18:46,1633358168.856988,2021-10-04T17:36:08
315965934,391500,1134152,-5.130711897637866,102063.22233719044,24.33341924712298,-61.27124786376953,134,13,2,1980-01-06T03:18:54,1633358175.77682,2021-10-04T17:36:15
315965940,391500,1140152,-5.251185367881931,96719.48773573108,25.069548752427153,390.65203857421875,205,13,2,1980-01-06T03:19:00,1633358184.536609,2021-10-04T17:36:24
315965950,391500,1150152,-5.532932032816371,89598.97301055663,25.415250295213397,1025.4779052734375,67,13,2,1980-01-06T03:19:10,1633358191.437001,2021-10-04T17:36:31
315965957,391500,1157152,-5.69549014410004,84945.85051818554,25.532208183931786,1462.835205078125,149,13,2,1980-01-06T03:19:17,1633358197.6868129,2021-10-04T17:36:37
315965964,391500,1164152,-5.88310625852173,97027.07273825635,26.257149493483713,364.0968933105469,234,13,2,1980-01-06T03:19:24,1633358207.276968,2021-10-04T17:36:47
315965970,391500,1170152,-6.08806999514627,92973.24783184945,26.430887105954653,719.7246704101562,49,13,2,1980-01-06T03:19:30,1633358213.5175278,2021-10-04T17:36:53
315965978,391500,1178152,-6.381379365032421,87163.41795581685,26.488607073588867,1252.0362548828125,142,13,2,1980-01-06T03:19:38,1633358220.356741,2021-10-04T17:37:00
315965984,391500,1184152,-6.531728159868703,83458.45907165098,26.492250207081415,1606.7427978515625,214,13,2,1980-01-06T03:19:44,1633358228.5367079,2021-10-04T17:37:08
315965993,391500,1193152,-6.821181014593458,78111.80157517797,26.504845835988437,2141.8779296875,64,13,2,1980-01-06T03:19:53,1633358235.987032,2021-10-04T17:37:15
