time_s,time_us,time_steady,sd_last_error,sd_error_count,sd_elapsed_time_from_msg,sd_last_state,imi_last_error,imi_error_count,imi_elapsed_time_from_msg,imi_last_state,sins_comm_last_error,sins_comm_error_count,sins_comm_elapsed_time_from_msg,sins_comm_last_state,wifi_last_error,wifi_error_count,wifi_elapsed_time_from_msg,wifi_last_state,network_last_error,network_error_count,network_elapsed_time_from_msg,network_last_state,sensors_last_error,sensors_error_count,sensors_elapsed_time_from_msg,sensors_last_state,time_sync_last_error,time_sync_error_count,time_sync_elapsed_time_from_msg,time_sync_last_state,radio_last_error,radio_error_count,radio_elapsed_time_from_msg,radio_last_state,shift_reg_last_error,shift_reg_error_count,shift_reg_elapsed_time_from_msg,shift_reg_last_state,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
315966006,571046,1206003,0,0,69,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4278257176,36,10,0,1980-01-06T03:20:06,1633358248.4765089,2021-10-04T17:37:28
315966020,581207,1220013,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4278257168,78,10,0,1980-01-06T03:20:20,1633358261.646848,2021-10-04T17:37:41
315966034,571054,1234003,0,0,41,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4278257168,120,10,0,1980-01-06T03:20:34,1633358280.037164,2021-10-04T17:38:00
315966050,571435,1250003,0,0,27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4278257296,168,10,0,1980-01-06T03:20:50,1633358293.286725,2021-10-04T17:38:13
315966064,571434,1264003,0,0,73,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4278257168,210,10,0,1980-01-06T03:21:04,1633358306.516633,2021-10-04T17:38:26
315966078,571449,1278003,0,0,55,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4279240208,252,10,0,1980-01-06T03:21:18,1633358320.246608,2021-10-04T17:38:40
315966091,571445,1291003,0,0,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4278257168,35,10,0,1980-01-06T03:21:31,1633358333.486485,2021-10-04T17:38:53
315966106,581353,1306013,0,0,66,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4278257168,80,10,0,1980-01-06T03:21:46,1633358349.426728,2021-10-04T17:39:09
315966119,581040,1319013,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4278257168,119,10,0,1980-01-06T03:21:59,1633358362.588045,2021-10-04T17:39:22
315966134,571026,1334003,0,0,62,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4278257168,164,10,0,1980-01-06T03:22:14,1633358376.266145,2021-10-04T17:39:36
315966148,571266,1348003,0,0,92,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4278257168,206,10,0,1980-01-06T03:22:28,1633358390.0460088,2021-10-04T17:39:50
315966161,571226,1361003,0,0,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4278257168,245,10,0,1980-01-06T03:22:41,1633358403.2159688,2021-10-04T17:40:03
315966176,571053,1376003,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4278257168,34,10,0,1980-01-06T03:22:56,1633358418.4864929,2021-10-04T17:40:18
315966189,571041,1389003,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4278257168,73,10,0,1980-01-06T03:23:09,1633358432.285873,2021-10-04T17:40:32
315966203,784058,1403003,0,0,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4278257168,115,10,0,1980-01-06T03:23:23,1633358445.5263329,2021-10-04T17:40:45
315966216,793951,1416013,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4278257168,154,10,0,1980-01-06T03:23:36,1633358458.686137,2021-10-04T17:40:58
315966231,793906,1431013,0,0,46,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4278257168,199,10,0,1980-01-06T03:23:51,1633358472.485869,2021-10-04T17:41:12
315966245,784046,1445003,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4278257168,241,10,0,1980-01-06T03:24:05,1633358487.946569,2021-10-04T17:41:27
315966259,793963,1459013,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4278257168,27,10,0,1980-01-06T03:24:19,1633358501.7361999,2021-10-04T17:41:41
315966272,784427,1472003,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4278191633,66,10,0,1980-01-06T03:24:32,1633358514.986045,2021-10-04T17:41:54
315966287,784429,1487003,0,0,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4278191633,111,10,0,1980-01-06T03:24:47,1633358528.915752,2021-10-04T17:42:08
315966300,838374,1500004,0,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4278191633,150,10,0,1980-01-06T03:25:00,1633358542.095916,2021-10-04T17:42:22
315966315,837449,1515003,0,0,56,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4279240208,195,10,0,1980-01-06T03:25:15,1633358558.206176,2021-10-04T17:42:38
315966327,847472,1527013,0,0,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4279240208,231,10,0,1980-01-06T03:25:27,1633358570.87618,2021-10-04T17:42:50
315966341,837445,1541003,0,0,60,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4279240208,17,10,0,1980-01-06T03:25:41,1633358584.216588,2021-10-04T17:43:04
315966355,837863,1555003,0,0,94,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4279240208,59,10,0,1980-01-06T03:25:55,1633358597.395949,2021-10-04T17:43:17
315966368,847322,1568013,0,0,92,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4279240208,98,10,0,1980-01-06T03:26:08,1633358610.597096,2021-10-04T17:43:30
315966382,837859,1582003,0,0,33,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4279240208,140,10,0,1980-01-06T03:26:22,1633358623.786044,2021-10-04T17:43:43
315966395,837858,1595003,0,0,96,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4279240208,179,10,0,1980-01-06T03:26:35,1633358637.0359209,2021-10-04T17:43:57
315966411,43334,1610003,0,0,37,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4279240208,224,10,0,1980-01-06T03:26:51,1633358652.4578729,2021-10-04T17:44:12
315966423,42940,1622003,0,0,72,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4278191633,4,10,0,1980-01-06T03:27:03,1633358665.755837,2021-10-04T17:44:25
315966437,43346,1636003,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4278191633,46,10,0,1980-01-06T03:27:17,1633358679.0257719,2021-10-04T17:44:39
315966451,42953,1650003,0,0,71,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4278191633,88,10,0,1980-01-06T03:27:31,1633358692.356492,2021-10-04T17:44:52
