time_s,time_us,time_steady,temperature,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
315965878,732216,1078604,-13.4375,171,10,1,1980-01-06T03:17:58,1633358123.667568,2021-10-04T17:35:23
315965886,759592,1086616,-13.5,243,10,1,1980-01-06T03:18:06,1633358129.94736,2021-10-04T17:35:29
315965894,791414,1094651,-14.1875,55,10,1,1980-01-06T03:18:14,1633358136.856688,2021-10-04T17:35:36
315965901,57433,1100702,-14.375,111,10,1,1980-01-06T03:18:21,1633358143.697712,2021-10-04T17:35:43
315965909,57423,1108684,-14.3125,179,10,1,1980-01-06T03:18:29,1633358150.596837,2021-10-04T17:35:50
315965915,136948,1114757,-14.3125,231,10,1,1980-01-06T03:18:35,1633358156.917096,2021-10-04T17:35:56
315965922,214701,1121838,-14.4375,37,10,1,1980-01-06T03:18:42,1633358163.766888,2021-10-04T17:36:03
315965929,267610,1128968,-14.5625,99,10,1,1980-01-06T03:18:49,1633358170.0283039,2021-10-04T17:36:10
315965937,357419,1136976,-15.125,167,10,1,1980-01-06T03:18:57,1633358177.556777,2021-10-04T17:36:17
315965943,365356,1142986,-15.375,219,10,1,1980-01-06T03:19:03,1633358185.7274048,2021-10-04T17:36:25
315965953,536964,1153156,-16.0625,51,10,1,1980-01-06T03:19:13,1633358195.3265479,2021-10-04T17:36:35
315965959,537057,1159149,-17.0625,107,10,1,1980-01-06T03:19:19,1633358201.5967278,2021-10-04T17:36:41
315965966,697264,1166325,-17.4375,169,10,1,1980-01-06T03:19:26,1633358208.456804,2021-10-04T17:36:48
315965972,707597,1172411,-17.6875,221,10,1,1980-01-06T03:19:32,1633358214.6966639,2021-10-04T17:36:54
315965979,815004,1179463,-18.25,27,10,1,1980-01-06T03:19:39,1633358222.1270518,2021-10-04T17:37:02
315965985,865151,1185558,-18.5625,79,10,1,1980-01-06T03:19:45,1633358229.727077,2021-10-04T17:37:09
315965995,886701,1195613,-18.875,167,10,1,1980-01-06T03:19:55,1633358237.1568239,2021-10-04T17:37:17
315966002,931443,1202504,-18.875,225,10,1,1980-01-06T03:20:02,1633358243.3864079,2021-10-04T17:37:23
315966009,951211,1209543,-18.875,31,10,1,1980-01-06T03:20:09,1633358253.026752,2021-10-04T17:37:33
315966017,41097,1216616,-19.4375,93,10,1,1980-01-06T03:20:17,1633358259.317241,2021-10-04T17:37:39
315966024,53787,1223645,-19.625,155,10,1,1980-01-06T03:20:24,1633358266.147032,2021-10-04T17:37:46
315966030,77270,1229656,-19.9375,207,10,1,1980-01-06T03:20:30,1633358274.316685,2021-10-04T17:37:54
315966040,74052,1239657,-20.9375,39,10,1,1980-01-06T03:20:40,1633358281.81652,2021-10-04T17:38:01
315966046,171068,1245829,-21.0,91,10,1,1980-01-06T03:20:46,1633358288.776329,2021-10-04T17:38:08
315966055,183789,1254773,-21.0625,169,10,1,1980-01-06T03:20:55,1633358295.666584,2021-10-04T17:38:15
315966061,201079,1260764,-21.5,221,10,1,1980-01-06T03:21:01,1633358301.939625,2021-10-04T17:38:21
315966068,211173,1267803,-21.8125,27,10,1,1980-01-06T03:21:08,1633358308.879,2021-10-04T17:38:28
315966074,261165,1273853,-22.125,79,10,1,1980-01-06T03:21:14,1633358315.14658,2021-10-04T17:38:35
315966081,293882,1280879,-22.375,141,10,1,1980-01-06T03:21:21,1633358324.22666,2021-10-04T17:38:44
315966089,357372,1288934,-23.25,213,10,1,1980-01-06T03:21:29,1633358331.1264038,2021-10-04T17:38:51
315966096,371584,1295947,-24.0625,15,10,1,1980-01-06T03:21:36,1633358338.0362248,2021-10-04T17:38:58
315966102,371086,1302049,-24.4375,71,10,1,1980-01-06T03:21:42,1633358344.2966518,2021-10-04T17:39:04
315966109,447570,1309024,-24.5,129,10,1,1980-01-06T03:21:49,1633358351.206517,2021-10-04T17:39:11
315966116,451093,1316028,-24.4375,191,10,1,1980-01-06T03:21:56,1633358357.5162249,2021-10-04T17:39:17
315966124,471704,1324048,-24.8125,7,10,1,1980-01-06T03:22:04,1633358364.928048,2021-10-04T17:39:24
315966131,493800,1331101,-25.125,69,10,1,1980-01-06T03:22:11,1633358371.7260609,2021-10-04T17:39:31
315966137,543856,1337126,-25.25,121,10,1,1980-01-06T03:22:17,1633358378.016785,2021-10-04T17:39:38
315966144,613800,1344223,-25.9375,183,10,1,1980-01-06T03:22:24,1633358387.068668,2021-10-04T17:39:47
315966151,641383,1351224,-26.6875,241,10,1,1980-01-06T03:22:31,1633358393.967793,2021-10-04T17:39:53
315966158,623810,1358214,-27.5,47,10,1,1980-01-06T03:22:38,1633358400.2459998,2021-10-04T17:40:00
315966165,691875,1365266,-27.9375,109,10,1,1980-01-06T03:22:45,1633358407.1461198,2021-10-04T17:40:07
315966171,773800,1371364,-28.0,161,10,1,1980-01-06T03:22:51,1633358413.436092,2021-10-04T17:40:13
315966178,773810,1378358,-28.1875,223,10,1,1980-01-06T03:22:58,1633358420.836081,2021-10-04T17:40:20
