time_s,time_us,time_steady,rx_packet_start_cnt,rx_packet_done_cnt,rx_cmds_start_cnt,rx_cmds_done_cnt,rx_drops_start_cnt,rx_drops_done_cnt,tx_psize_start_cnt,tx_psize_done_cnt,tx_packet_start_cnt,tx_packet_done_cnt,tx_zeroes_start_cnt,tx_zeroes_done_cnt,tx_empty_buffer_cnt,tx_overruns_cnt,cmds_get_size_cnt,cmds_get_packet_cnt,cmds_set_packet_cnt,cmds_invalid_cnt,restarts_cnt,berr_cnt,arlo_cnt,ovf_cnt,af_cnt,btf_cnt,tx_wrong_size_cnt,rx_wrong_size_cnt,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
315965961,615000,1160678,5,5,3345,3345,1040,1040,29437,29437,29435,29435,0,0,8964,72,38401,29435,1045,0,0,0,0,0,8964,0,0,0,40,11,0,1980-01-06T03:19:21,1633358203.376745,2021-10-04T17:36:43
315965975,861000,1174910,5,5,4197,4197,1053,1053,29801,29801,29799,29799,0,0,9075,72,38876,29799,1058,0,0,0,0,0,9075,0,0,0,148,11,0,1980-01-06T03:19:35,1633358216.436789,2021-10-04T17:36:56
315965989,92000,1188129,5,5,4970,4970,1065,1065,30130,30130,30128,30128,0,0,9178,72,39308,30128,1070,0,0,0,0,0,9178,0,0,0,219,11,0,1980-01-06T03:19:49,1633358234.207237,2021-10-04T17:37:14
315966033,803000,1232799,5,5,7588,7588,1105,1105,31245,31245,31243,31243,0,0,9526,72,40771,31243,1110,0,0,0,0,0,9526,0,0,0,55,11,0,1980-01-06T03:20:33,1633358276.6769118,2021-10-04T17:37:56
315966050,85000,1249066,5,5,8543,8543,1120,1120,31652,31652,31650,31650,0,0,9652,72,41304,31650,1125,0,0,0,0,0,9652,0,0,0,205,11,0,1980-01-06T03:20:50,1633358289.946285,2021-10-04T17:38:09
315966063,316000,1262284,5,5,9329,9329,1132,1132,31988,31988,31986,31986,0,0,9754,72,41742,31986,1137,0,0,0,0,0,9754,0,0,0,30,11,0,1980-01-06T03:21:03,1633358305.89656,2021-10-04T17:38:25
315966077,561000,1276514,5,5,10184,10184,1145,1145,32354,32354,32352,32351,0,0,9864,72,42218,32352,1150,0,0,0,0,0,9864,0,0,0,139,11,0,1980-01-06T03:21:17,1633358319.0568008,2021-10-04T17:38:39
315966090,792000,1289732,5,5,10972,10972,1156,1156,32691,32691,32689,32689,0,0,9967,72,42658,32689,1161,0,0,0,0,0,9967,0,0,0,221,11,0,1980-01-06T03:21:30,1633358332.316488,2021-10-04T17:38:52
315966105,38000,1303964,5,5,11806,11806,1169,1169,33047,33047,33045,33045,0,0,10076,72,43123,33045,1174,0,0,0,0,0,10076,0,0,0,65,11,0,1980-01-06T03:21:45,1633358346.0762239,2021-10-04T17:39:06
315966119,288000,1318200,5,5,12647,12647,1182,1182,33406,33406,33404,33404,0,0,10186,72,43592,33404,1187,0,0,0,0,0,10186,0,0,0,169,11,0,1980-01-06T03:21:59,1633358359.3061478,2021-10-04T17:39:19
315966132,516000,1331415,5,5,13442,13442,1194,1194,33746,33746,33744,33744,0,0,10289,72,44035,33744,1199,0,0,0,0,0,10289,0,0,0,252,11,0,1980-01-06T03:22:12,1633358375.086112,2021-10-04T17:39:35
315966146,768000,1345652,5,5,14293,14293,1207,1207,34110,34110,34108,34108,0,0,10399,72,44509,34108,1212,0,0,0,0,0,10399,0,0,0,104,11,0,1980-01-06T03:22:26,1633358388.2461329,2021-10-04T17:39:48
315966159,991000,1358862,5,5,15073,15073,1219,1219,34443,34443,34441,34441,0,0,10501,72,44944,34441,1224,0,0,0,0,0,10501,0,0,0,181,11,0,1980-01-06T03:22:39,1633358402.0364559,2021-10-04T17:40:02
315966174,240000,1373097,5,5,15912,15912,1232,1232,34801,34801,34799,34798,0,0,10611,72,45412,34799,1237,0,0,0,0,0,10611,0,0,0,27,11,0,1980-01-06T03:22:54,1633358415.176609,2021-10-04T17:40:15
315966187,846000,1386689,5,5,16730,16730,1244,1244,35151,35151,35149,35149,0,0,10717,72,45868,35149,1249,0,0,0,0,0,10717,0,0,0,119,11,0,1980-01-06T03:23:07,1633358428.3180518,2021-10-04T17:40:28
315966201,227000,1400057,5,5,17519,17519,1256,1256,35488,35488,35486,35486,0,0,10820,72,46308,35486,1261,0,0,0,0,0,10820,0,0,0,203,11,0,1980-01-06T03:23:21,1633358444.3260999,2021-10-04T17:40:44
315966215,821000,1414636,5,5,18393,18393,1269,1269,35862,35862,35860,35860,0,0,10933,72,46795,35860,1274,0,0,0,0,0,10933,0,0,0,64,11,0,1980-01-06T03:23:35,1633358457.4958448,2021-10-04T17:40:57
315966230,415000,1429216,5,5,19262,19262,1282,1282,36234,36234,36232,36232,0,0,11045,72,47279,36232,1287,0,0,0,0,0,11045,0,0,0,180,11,0,1980-01-06T03:23:50,1633358471.316285,2021-10-04T17:41:11
315966243,806000,1442593,5,5,20060,20060,1295,1295,36575,36575,36573,36572,0,0,11148,72,47723,36573,1300,0,0,0,0,0,11148,0,0,0,10,11,0,1980-01-06T03:24:03,1633358485.1564329,2021-10-04T17:41:25
315966258,800000,1457573,5,5,20957,20957,1308,1308,36959,36959,36957,36957,0,0,11264,72,48223,36957,1313,0,0,0,0,0,11264,0,0,0,138,11,0,1980-01-06T03:24:18,1633358500.547597,2021-10-04T17:41:40
315966271,987000,1470746,5,5,21741,21741,1320,1320,37294,37294,37292,37291,0,0,11366,72,48660,37292,1325,0,0,0,0,0,11366,0,0,0,215,11,0,1980-01-06T03:24:31,1633358513.7863169,2021-10-04T17:41:53
315966287,171000,1485915,5,5,22633,22633,1334,1334,37674,37674,37672,37672,0,0,11484,72,49158,37672,1339,0,0,0,0,0,11484,0,0,0,83,11,0,1980-01-06T03:24:47,1633358527.7155879,2021-10-04T17:42:07
315966300,383000,1499114,5,5,23420,23420,1346,1346,38010,38010,38008,38008,0,0,11587,72,49597,38008,1351,0,0,0,0,0,11587,0,0,0,165,11,0,1980-01-06T03:25:00,1633358540.926117,2021-10-04T17:42:20
315966313,604000,1512323,5,5,24211,24211,1358,1358,38348,38348,38346,38346,0,0,11690,72,50038,38346,1363,0,0,0,0,0,11690,0,0,0,247,11,0,1980-01-06T03:25:13,1633358554.8458478,2021-10-04T17:42:34
315966327,844000,1526548,5,5,25062,25062,1370,1370,38712,38712,38710,38710,0,0,11801,72,50513,38710,1375,0,0,0,0,0,11801,0,0,0,100,11,0,1980-01-06T03:25:27,1633358570.2870529,2021-10-04T17:42:50
315966341,36000,1539727,5,5,25841,25841,1382,1382,39045,39045,39042,39042,0,0,11903,72,50948,39042,1387,0,0,0,0,0,11903,0,0,0,173,11,0,1980-01-06T03:25:41,1633358583.0365689,2021-10-04T17:43:03
315966354,663000,1553340,5,5,26642,26642,1395,1395,39386,39386,39383,39383,0,0,12009,72,51395,39383,1400,0,0,0,0,0,12009,0,0,0,5,11,0,1980-01-06T03:25:54,1633358596.228116,2021-10-04T17:43:16
315966367,929000,1566593,5,5,27433,27433,1407,1407,39724,39724,39721,39721,0,0,12112,72,51836,39721,1412,0,0,0,0,0,12112,0,0,0,85,11,0,1980-01-06T03:26:07,1633358609.395876,2021-10-04T17:43:29
315966381,280000,1579930,5,5,28209,28209,1419,1419,40054,40054,40051,40051,0,0,12216,72,52270,40051,1424,0,0,0,0,0,12216,0,0,0,160,11,0,1980-01-06T03:26:21,1633358622.626185,2021-10-04T17:43:42
315966395,485000,1594121,5,5,29061,29061,1432,1432,40418,40418,40415,40415,0,0,12327,72,52745,40415,1437,0,0,0,0,0,12327,0,0,0,12,11,0,1980-01-06T03:26:35,1633358635.8561249,2021-10-04T17:43:55
315966408,712000,1607335,5,5,29858,29858,1444,1444,40759,40759,40756,40755,0,0,12430,72,53189,40756,1449,0,0,0,0,0,12430,0,0,0,95,11,0,1980-01-06T03:26:48,1633358649.096125,2021-10-04T17:44:09
315966421,942000,1620551,5,5,30643,30643,1455,1455,41094,41094,41091,41091,0,0,12534,72,53628,41091,1460,0,0,0,0,0,12534,0,0,0,175,11,0,1980-01-06T03:27:01,1633358662.3571649,2021-10-04T17:44:22
315966436,187000,1634783,5,5,31479,31479,1468,1468,41450,41450,41447,41446,0,0,12645,72,54095,41447,1473,0,0,0,0,0,12645,0,0,0,18,11,0,1980-01-06T03:27:16,1633358677.837237,2021-10-04T17:44:37
315966449,419000,1648002,5,5,32269,32269,1480,1480,41787,41787,41784,41784,0,0,12749,72,54536,41784,1485,0,0,0,0,0,12749,0,0,0,100,11,0,1980-01-06T03:27:29,1633358691.1963758,2021-10-04T17:44:51
315966462,650000,1661220,5,5,33058,33058,1492,1492,42124,42124,42121,42121,0,0,12852,72,54976,42121,1497,0,0,0,0,0,12852,0,0,0,182,11,0,1980-01-06T03:27:42,1633358704.4458559,2021-10-04T17:45:04
315966475,881000,1674438,5,5,33855,33855,1504,1504,42465,42465,42462,42461,0,0,12955,72,55420,42462,1509,0,0,0,0,0,12955,0,0,0,9,11,0,1980-01-06T03:27:55,1633358717.746348,2021-10-04T17:45:17
315966490,129000,1688670,5,5,34683,34683,1517,1517,42817,42817,42814,42813,0,0,13066,72,55883,42814,1522,0,0,0,0,0,13066,0,0,0,105,11,0,1980-01-06T03:28:10,1633358730.985908,2021-10-04T17:45:30
315966504,375000,1702903,5,5,35534,35534,1530,1530,43180,43180,43177,43177,0,0,13178,72,56358,43177,1535,0,0,0,0,0,13178,0,0,0,213,11,0,1980-01-06T03:28:24,1633358744.2561798,2021-10-04T17:45:44
315966517,608000,1716123,5,5,36323,36323,1542,1542,43517,43517,43514,43514,0,0,13281,72,56798,43514,1547,0,0,0,0,0,13281,0,0,0,39,11,0,1980-01-06T03:28:37,1633358757.5562,2021-10-04T17:45:57
315966531,849000,1730350,5,5,37175,37175,1555,1555,43881,43881,43878,43878,0,0,13392,72,57273,43878,1560,0,0,0,0,0,13392,0,0,0,147,11,0,1980-01-06T03:28:51,1633358774.8772209,2021-10-04T17:46:14
315966546,93000,1744579,5,5,38010,38010,1567,1567,44237,44237,44234,44234,0,0,13503,72,57740,44234,1572,0,0,0,0,0,13503,0,0,0,245,11,0,1980-01-06T03:29:06,1633358788.174852,2021-10-04T17:46:28
315966559,320000,1757793,5,5,38795,38795,1579,1579,44572,44572,44569,44569,0,0,13606,72,58178,44569,1584,0,0,0,0,0,13606,0,0,0,70,11,0,1980-01-06T03:29:19,1633358801.464665,2021-10-04T17:46:41
315966573,565000,1772024,5,5,39647,39647,1592,1592,44936,44936,44933,44933,0,0,13717,72,58653,44933,1597,0,0,0,0,0,13717,0,0,0,178,11,0,1980-01-06T03:29:33,1633358814.154124,2021-10-04T17:46:54
315966586,790000,1785236,5,5,40438,40438,1604,1604,45274,45274,45271,45271,0,0,13820,72,59094,45271,1609,0,0,0,0,0,13820,0,0,0,4,11,0,1980-01-06T03:29:46,1633358827.99238,2021-10-04T17:47:07
315966601,35000,1799467,5,5,41281,41281,1617,1617,45633,45633,45630,45630,0,0,13932,72,59565,45630,1622,0,0,0,0,0,13932,0,0,0,105,11,0,1980-01-06T03:30:01,1633358841.341876,2021-10-04T17:47:21
315966615,284000,1813701,5,5,42122,42122,1630,1630,45992,45992,45989,45988,0,0,14042,72,60034,45989,1635,0,0,0,0,0,14042,0,0,0,209,11,0,1980-01-06T03:30:15,1633358854.5614128,2021-10-04T17:47:34
