time_s,time_us,time_steady,last_report_time,last_good_report_time,reports_counter,bad_reports_counter,last_mistake,ignorance_depth,punishments_counter,last_punishment_time,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
315966354,663000,1553340,1553340,1553340,39390,1,-11,0,0,0,6,11,0,1980-01-06T03:25:54,1633358596.806849,2021-10-04T17:43:16
315966367,929000,1566593,1566593,1566593,39726,1,-11,0,0,0,86,11,0,1980-01-06T03:26:07,1633358609.395876,2021-10-04T17:43:29
315966381,280000,1579930,1579930,1579930,40057,1,-11,0,0,0,161,11,0,1980-01-06T03:26:21,1633358622.626185,2021-10-04T17:43:42
315966395,485000,1594121,1594121,1594121,40421,1,-11,0,0,0,13,11,0,1980-01-06T03:26:35,1633358635.8561249,2021-10-04T17:43:55
315966408,712000,1607336,1607336,1607336,40760,1,-11,0,0,0,96,11,0,1980-01-06T03:26:48,1633358649.675889,2021-10-04T17:44:09
315966421,942000,1620551,1620551,1620551,41096,1,-11,0,0,0,176,11,0,1980-01-06T03:27:01,1633358662.3571649,2021-10-04T17:44:22
315966436,187000,1634783,1634783,1634783,41451,1,-11,0,0,0,19,11,0,1980-01-06T03:27:16,1633358677.837237,2021-10-04T17:44:37
315966449,419000,1648002,1648002,1648002,41789,1,-11,0,0,0,101,11,0,1980-01-06T03:27:29,1633358691.1963758,2021-10-04T17:44:51
315966463,667000,1662236,1662236,1662236,42153,1,-11,0,0,0,209,11,0,1980-01-06T03:27:43,1633358704.4458559,2021-10-04T17:45:04
315966476,899000,1675455,1675455,1675455,42492,1,-11,0,0,0,36,11,0,1980-01-06T03:27:56,1633358717.746348,2021-10-04T17:45:17
315966490,129000,1688670,1688670,1688670,42818,1,-11,0,0,0,106,11,0,1980-01-06T03:28:10,1633358731.57618,2021-10-04T17:45:31
315966504,376000,1702903,1702903,1702903,43182,1,-11,0,0,0,214,11,0,1980-01-06T03:28:24,1633358744.835952,2021-10-04T17:45:44
315966517,608000,1716123,1716123,1716123,43520,1,-11,0,0,0,40,11,0,1980-01-06T03:28:37,1633358757.5562,2021-10-04T17:45:57
315966531,849000,1730350,1730350,1730350,43884,1,-11,0,0,0,148,11,0,1980-01-06T03:28:51,1633358774.8772209,2021-10-04T17:46:14
315966547,111000,1745595,1745595,1745595,44263,1,-11,0,0,0,15,11,0,1980-01-06T03:29:07,1633358788.174852,2021-10-04T17:46:28
315966560,337000,1758809,1758809,1758809,44601,1,-11,0,0,0,97,11,0,1980-01-06T03:29:20,1633358801.464665,2021-10-04T17:46:41
315966573,565000,1772024,1772024,1772024,44939,1,-11,0,0,0,179,11,0,1980-01-06T03:29:33,1633358814.753136,2021-10-04T17:46:54
315966587,808000,1786253,1786253,1786253,45303,1,-11,0,0,0,31,11,0,1980-01-06T03:29:47,1633358827.99238,2021-10-04T17:47:07
315966601,35000,1799467,1799467,1799467,45634,1,-11,0,0,0,106,11,0,1980-01-06T03:30:01,1633358841.341876,2021-10-04T17:47:21
315966615,284000,1813701,1813701,1813701,45994,1,-11,0,0,0,210,11,0,1980-01-06T03:30:15,1633358854.5614128,2021-10-04T17:47:34
315966628,508000,1826912,1826912,1826912,46332,1,-11,0,0,0,36,11,0,1980-01-06T03:30:28,1633358870.131084,2021-10-04T17:47:50
315966641,740000,1840131,1840131,1840131,46670,1,-11,0,0,0,118,11,0,1980-01-06T03:30:41,1633358883.4312599,2021-10-04T17:48:03
315966655,983000,1854360,1854360,1854360,47030,1,-11,0,0,0,222,11,0,1980-01-06T03:30:55,1633358896.778612,2021-10-04T17:48:16
315966669,204000,1867567,1867567,1867567,47361,1,-11,0,0,0,41,11,0,1980-01-06T03:31:09,1633358910.089944,2021-10-04T17:48:30
315966683,446000,1881795,1881795,1881795,47723,9,-11,0,0,0,149,11,0,1980-01-06T03:31:23,1633358923.407573,2021-10-04T17:48:43
315966695,651000,1893988,1893988,1893988,48035,9,-11,0,0,0,205,11,0,1980-01-06T03:31:35,1633358936.7067199,2021-10-04T17:48:56
315966709,899000,1908223,1908223,1908223,48399,9,-11,0,0,0,57,11,0,1980-01-06T03:31:49,1633358949.996376,2021-10-04T17:49:09
315966723,129000,1921440,1921440,1921440,48726,9,-11,0,0,0,128,11,0,1980-01-06T03:32:03,1633358962.695281,2021-10-04T17:49:22
315966738,386000,1936681,1936681,1936681,49116,9,-11,0,0,0,6,11,0,1980-01-06T03:32:18,1633358980.185773,2021-10-04T17:49:40
315966752,630000,1950910,1950910,1950910,49480,9,-11,0,0,0,114,11,0,1980-01-06T03:32:32,1633358993.504305,2021-10-04T17:49:53
315966766,876000,1965143,1965143,1965143,49844,9,-11,0,0,0,222,11,0,1980-01-06T03:32:46,1633359007.3935568,2021-10-04T17:50:07
315966780,105000,1978358,1978358,1978358,50172,9,-11,0,0,0,38,11,0,1980-01-06T03:33:00,1633359020.792985,2021-10-04T17:50:20
315966793,326000,1991566,1991566,1991566,50510,9,-11,0,0,0,120,11,0,1980-01-06T03:33:13,1633359034.162209,2021-10-04T17:50:34
315966806,553000,2004780,2004780,2004780,50848,9,-11,0,0,0,202,11,0,1980-01-06T03:33:26,1633359047.401577,2021-10-04T17:50:47
