time_s,time_us,time_steady,gps_init_error,gps_config_error,lsm6ds3_error,lis3mdl_error,analog_sensor_init_error,gps_uart_init_error,mems_i2c_error,timers_error,rtc_error,mems_i2c_error_counter,lsm6ds3_error_counter,lis3mdl_error_counter,gps_reconfig_counter,osc_source,reset_counter,reset_cause,seq,srcSystem,srcComponent,time_gregorian
315964992,59000,192045,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,231,11,0,1980-01-06T03:03:12
315964993,273000,193259,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,6,11,0,1980-01-06T03:03:13
315964994,487000,194473,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,37,11,0,1980-01-06T03:03:14
315964995,701000,195687,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,69,11,0,1980-01-06T03:03:15
315964996,915000,196901,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,99,11,0,1980-01-06T03:03:16
315964998,133000,198118,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,130,11,0,1980-01-06T03:03:18
315964999,347000,199333,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,162,11,0,1980-01-06T03:03:19
315965000,559000,200545,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,193,11,0,1980-01-06T03:03:20
315965001,771000,201757,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,224,11,0,1980-01-06T03:03:21
315965002,983000,202969,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,254,11,0,1980-01-06T03:03:22
315965004,199000,204185,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,29,11,0,1980-01-06T03:03:24
315965005,412000,205397,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,61,11,0,1980-01-06T03:03:25
315965006,625000,206611,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,92,11,0,1980-01-06T03:03:26
315965007,839000,207825,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,123,11,0,1980-01-06T03:03:27
315965009,56000,209042,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,153,11,0,1980-01-06T03:03:29
315965010,270000,210256,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,184,11,0,1980-01-06T03:03:30
315965011,486000,211471,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,216,11,0,1980-01-06T03:03:31
315965012,700000,212686,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,247,11,0,1980-01-06T03:03:32
315965013,914000,213900,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,21,11,0,1980-01-06T03:03:33
315965015,131000,215117,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,52,11,0,1980-01-06T03:03:35
315965016,345000,216331,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,84,11,0,1980-01-06T03:03:36
315965017,558000,217544,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,115,11,0,1980-01-06T03:03:37
315965018,771000,218757,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,146,11,0,1980-01-06T03:03:38
315965019,985000,219970,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,176,11,0,1980-01-06T03:03:39
315965021,200000,221186,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,207,11,0,1980-01-06T03:03:41
315965022,413000,222399,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,239,11,0,1980-01-06T03:03:42
315965023,626000,223612,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,14,11,0,1980-01-06T03:03:43
315965024,840000,224826,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,45,11,0,1980-01-06T03:03:44
315965026,58000,226043,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,75,11,0,1980-01-06T03:03:46
315965027,271000,227256,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,106,11,0,1980-01-06T03:03:47
315965028,485000,228470,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,138,11,0,1980-01-06T03:03:48
315965029,698000,229683,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,169,11,0,1980-01-06T03:03:49
315965030,911000,230897,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,200,11,0,1980-01-06T03:03:50
315965032,129000,232115,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,231,11,0,1980-01-06T03:03:52
315965033,342000,233328,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,7,11,0,1980-01-06T03:03:53
315965034,556000,234542,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,38,11,0,1980-01-06T03:03:54
315965035,770000,235755,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,69,11,0,1980-01-06T03:03:55
315965036,983000,236969,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,99,11,0,1980-01-06T03:03:56
315965038,202000,238186,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,130,11,0,1980-01-06T03:03:58
315965039,415000,239398,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,162,11,0,1980-01-06T03:03:59
315965040,631000,240612,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,193,11,0,1980-01-06T03:04:00
315965041,845000,241826,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,224,11,0,1980-01-06T03:04:01
315965043,63000,243043,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,254,11,0,1980-01-06T03:04:03
315965044,278000,244257,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,29,11,0,1980-01-06T03:04:04
315965045,493000,245470,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,61,11,0,1980-01-06T03:04:05
315965046,709000,246684,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,92,11,0,1980-01-06T03:04:06
315965047,923000,247898,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,122,11,0,1980-01-06T03:04:07
315965049,141000,249114,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,153,11,0,1980-01-06T03:04:09
315965050,356000,250328,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,184,11,0,1980-01-06T03:04:10
315965051,572000,251542,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,216,11,0,1980-01-06T03:04:11
315965052,786000,252756,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,247,11,0,1980-01-06T03:04:12
315965054,1000,253969,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,21,11,0,1980-01-06T03:04:14
315965055,219000,255187,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,52,11,0,1980-01-06T03:04:15
315965056,433000,256400,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,84,11,0,1980-01-06T03:04:16
315965057,649000,257614,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,115,11,0,1980-01-06T03:04:17
315965058,864000,258828,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,146,11,0,1980-01-06T03:04:18
315965060,82000,260045,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,176,11,0,1980-01-06T03:04:20
315965061,296000,261258,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,207,11,0,1980-01-06T03:04:21
315965062,511000,262472,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,239,11,0,1980-01-06T03:04:22
315965063,727000,263685,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,14,11,0,1980-01-06T03:04:23
