time_s,time_us,time_steady,count_tick,delta_time,seq,srcSystem,srcComponent,time_gregorian
315965057,361700,257951,1,1200,236,13,0,1980-01-06T03:04:17
315965058,561600,259151,2,1200,248,13,0,1980-01-06T03:04:18
315965058,561600,259151,2,1200,3,13,0,1980-01-06T03:04:18
315965059,761600,260351,0,1200,16,13,0,1980-01-06T03:04:19
315965060,961600,261551,0,1200,27,13,0,1980-01-06T03:04:20
315965062,161600,262751,0,1200,38,13,0,1980-01-06T03:04:22
315965063,361600,263951,0,1200,52,13,0,1980-01-06T03:04:23
315965064,561600,265151,0,1200,63,13,0,1980-01-06T03:04:24
315965064,561600,265151,0,1200,74,13,0,1980-01-06T03:04:24
315965065,761600,266351,0,1200,87,13,0,1980-01-06T03:04:25
315965066,961600,267551,0,1200,98,13,0,1980-01-06T03:04:26
315965068,161600,268751,0,1200,110,13,0,1980-01-06T03:04:28
315965069,361700,269951,0,1200,123,13,0,1980-01-06T03:04:29
315965070,561700,271151,0,1200,134,13,0,1980-01-06T03:04:30
315965070,561700,271151,0,1200,145,13,0,1980-01-06T03:04:30
315965071,761700,272351,0,1200,158,13,0,1980-01-06T03:04:31
315965072,961600,273551,0,1200,170,13,0,1980-01-06T03:04:32
315965074,161600,274751,0,1200,181,13,0,1980-01-06T03:04:34
315965075,361600,275951,0,1200,194,13,0,1980-01-06T03:04:35
315965076,561600,277151,0,1200,205,13,0,1980-01-06T03:04:36
315965076,561600,277151,0,1200,216,13,0,1980-01-06T03:04:36
315965077,761600,278351,0,1200,230,13,0,1980-01-06T03:04:37
315965078,961600,279551,0,1200,241,13,0,1980-01-06T03:04:38
315965080,161600,280751,0,1200,252,13,0,1980-01-06T03:04:40
315965081,361600,281951,0,1200,9,13,0,1980-01-06T03:04:41
315965082,561600,283151,0,1200,20,13,0,1980-01-06T03:04:42
315965082,561600,283151,0,1200,32,13,0,1980-01-06T03:04:42
315965083,761700,284351,0,1200,45,13,0,1980-01-06T03:04:43
315965084,961700,285551,0,1200,56,13,0,1980-01-06T03:04:44
315965086,161600,286751,2,1200,67,13,0,1980-01-06T03:04:46
315965087,361600,287951,0,1200,80,13,0,1980-01-06T03:04:47
315965088,561600,289151,0,1200,92,13,0,1980-01-06T03:04:48
315965088,561600,289151,0,1200,103,13,0,1980-01-06T03:04:48
315965089,761600,290351,0,1200,116,13,0,1980-01-06T03:04:49
315965090,961600,291551,0,1200,127,13,0,1980-01-06T03:04:50
315965092,161600,292751,0,1200,138,13,0,1980-01-06T03:04:52
315965093,361600,293951,0,1200,152,13,0,1980-01-06T03:04:53
315965094,561600,295151,0,1200,163,13,0,1980-01-06T03:04:54
315965094,561600,295151,0,1200,174,13,0,1980-01-06T03:04:54
315965095,761600,296351,0,1200,187,13,0,1980-01-06T03:04:55
315965096,961600,297551,0,1200,198,13,0,1980-01-06T03:04:56
315965098,161700,298751,0,1200,210,13,0,1980-01-06T03:04:58
315965099,361700,299951,0,1200,223,13,0,1980-01-06T03:04:59
315965100,561600,301151,0,1200,234,13,0,1980-01-06T03:05:00
315965100,561600,301151,0,1200,245,13,0,1980-01-06T03:05:00
315965101,761600,302351,0,1200,2,13,0,1980-01-06T03:05:01
315965102,961600,303551,0,1200,14,13,0,1980-01-06T03:05:02
315965104,161600,304751,0,1200,25,13,0,1980-01-06T03:05:04
315965105,361600,305951,0,1200,38,13,0,1980-01-06T03:05:05
315965106,561600,307151,0,1200,49,13,0,1980-01-06T03:05:06
315965106,561600,307151,0,1200,60,13,0,1980-01-06T03:05:06
315965107,761600,308351,0,1200,74,13,0,1980-01-06T03:05:07
315965108,961600,309551,0,1200,85,13,0,1980-01-06T03:05:08
315965110,161600,310751,0,1200,96,13,0,1980-01-06T03:05:10
315965111,361700,311951,0,1200,109,13,0,1980-01-06T03:05:11
315965112,561700,313151,0,1200,120,13,0,1980-01-06T03:05:12
315965112,561700,313151,0,1200,132,13,0,1980-01-06T03:05:12
315965113,761600,314351,0,1200,145,13,0,1980-01-06T03:05:13
315965114,961600,315551,1,1200,156,13,0,1980-01-06T03:05:14
315965116,161600,316751,0,1200,167,13,0,1980-01-06T03:05:16
315965117,361600,317951,0,1200,180,13,0,1980-01-06T03:05:17
315965118,561600,319151,0,1200,192,13,0,1980-01-06T03:05:18
315965118,561600,319151,0,1200,203,13,0,1980-01-06T03:05:18
315965119,761600,320351,0,1200,216,13,0,1980-01-06T03:05:19
315965120,961600,321551,0,1200,227,13,0,1980-01-06T03:05:20
315965122,161600,322751,0,1200,238,13,0,1980-01-06T03:05:22
315965123,361600,323951,0,1200,252,13,0,1980-01-06T03:05:23
315965124,561600,325151,0,1200,7,13,0,1980-01-06T03:05:24
315965124,561600,325151,0,1200,18,13,0,1980-01-06T03:05:24
315965125,761700,326351,1,1200,31,13,0,1980-01-06T03:05:25
315965126,961700,327551,0,1200,42,13,0,1980-01-06T03:05:26
315965128,161700,328751,0,1200,54,13,0,1980-01-06T03:05:28
315965129,361600,329951,0,1200,67,13,0,1980-01-06T03:05:29
315965130,561600,331151,0,1200,78,13,0,1980-01-06T03:05:30
315965130,561600,331151,0,1200,89,13,0,1980-01-06T03:05:30
315965131,761600,332351,0,1200,102,13,0,1980-01-06T03:05:31
315965132,961600,333551,0,1200,114,13,0,1980-01-06T03:05:32
315965134,161600,334751,0,1200,125,13,0,1980-01-06T03:05:34
315965135,361600,335951,0,1200,138,13,0,1980-01-06T03:05:35
315965136,561600,337151,0,1200,149,13,0,1980-01-06T03:05:36
315965136,561600,337151,0,1200,160,13,0,1980-01-06T03:05:36
315965137,761600,338351,0,1200,174,13,0,1980-01-06T03:05:37
315965138,961600,339551,0,1200,185,13,0,1980-01-06T03:05:38
315965140,161600,340751,0,1200,196,13,0,1980-01-06T03:05:40
315965141,361700,341951,0,1200,209,13,0,1980-01-06T03:05:41
315965142,561700,343151,0,1200,220,13,0,1980-01-06T03:05:42
315965142,561700,343151,0,1200,232,13,0,1980-01-06T03:05:42
315965143,761600,344351,0,1200,245,13,0,1980-01-06T03:05:43
315965144,961600,345551,0,1200,0,13,0,1980-01-06T03:05:44
315965146,161600,346751,0,1200,11,13,0,1980-01-06T03:05:46
315965147,361600,347951,0,1200,24,13,0,1980-01-06T03:05:47
315965148,561600,349151,0,1200,36,13,0,1980-01-06T03:05:48
315965148,561600,349151,0,1200,47,13,0,1980-01-06T03:05:48
315965149,761600,350351,0,1200,60,13,0,1980-01-06T03:05:49
315965150,961600,351551,0,1200,71,13,0,1980-01-06T03:05:50
315965152,161600,352751,0,1200,82,13,0,1980-01-06T03:05:52
315965153,361600,353951,1,1200,96,13,0,1980-01-06T03:05:53
315965154,561600,355151,0,1200,107,13,0,1980-01-06T03:05:54
315965154,561600,355151,0,1200,118,13,0,1980-01-06T03:05:54
315965155,761700,356351,0,1200,131,13,0,1980-01-06T03:05:55
315965156,961700,357551,0,1200,142,13,0,1980-01-06T03:05:56
315965158,161700,358751,0,1200,154,13,0,1980-01-06T03:05:58
315965159,361600,359951,0,1200,167,13,0,1980-01-06T03:05:59
315965160,561600,361151,0,1200,178,13,0,1980-01-06T03:06:00
315965160,561600,361151,0,1200,189,13,0,1980-01-06T03:06:00
315965161,761600,362351,0,1200,202,13,0,1980-01-06T03:06:01
315965162,961600,363551,0,1200,214,13,0,1980-01-06T03:06:02
315965164,161600,364751,0,1200,225,13,0,1980-01-06T03:06:04
315965165,361600,365951,1,1200,238,13,0,1980-01-06T03:06:05
315965166,561600,367151,0,1200,249,13,0,1980-01-06T03:06:06
315965166,561600,367151,0,1200,4,13,0,1980-01-06T03:06:06
315965167,761600,368351,0,1200,18,13,0,1980-01-06T03:06:07
315965168,961600,369551,0,1200,29,13,0,1980-01-06T03:06:08
315965170,161700,370751,0,1200,40,13,0,1980-01-06T03:06:10
315965171,361700,371951,0,1200,53,13,0,1980-01-06T03:06:11
315965172,561600,373151,0,1200,64,13,0,1980-01-06T03:06:12
315965172,561600,373151,0,1200,76,13,0,1980-01-06T03:06:12
315965173,761600,374351,0,1200,89,13,0,1980-01-06T03:06:13
315965174,961600,375551,0,1200,100,13,0,1980-01-06T03:06:14
315965176,161600,376751,0,1200,111,13,0,1980-01-06T03:06:16
315965177,361600,377951,0,1200,124,13,0,1980-01-06T03:06:17
315965178,561600,379151,0,1200,136,13,0,1980-01-06T03:06:18
315965178,561600,379151,0,1200,147,13,0,1980-01-06T03:06:18
315965179,761600,380351,0,1200,160,13,0,1980-01-06T03:06:19
315965180,961600,381551,0,1200,171,13,0,1980-01-06T03:06:20
315965182,161600,382751,0,1200,182,13,0,1980-01-06T03:06:22
315965183,361600,383951,0,1200,196,13,0,1980-01-06T03:06:23
315965184,561600,385151,0,1200,207,13,0,1980-01-06T03:06:24
315965184,561600,385151,0,1200,218,13,0,1980-01-06T03:06:24
315965185,761700,386351,0,1200,231,13,0,1980-01-06T03:06:25
315965186,961700,387551,0,1200,242,13,0,1980-01-06T03:06:26
315965188,161600,388751,1,1200,254,13,0,1980-01-06T03:06:28
315965189,361600,389951,0,1200,11,13,0,1980-01-06T03:06:29
315965190,561600,391151,0,1200,22,13,0,1980-01-06T03:06:30
315965190,561600,391151,0,1200,33,13,0,1980-01-06T03:06:30
315965191,761600,392351,0,1200,46,13,0,1980-01-06T03:06:31
315965192,961600,393551,0,1200,58,13,0,1980-01-06T03:06:32
315965194,161600,394751,0,1200,69,13,0,1980-01-06T03:06:34
315965195,361600,395951,0,1200,82,13,0,1980-01-06T03:06:35
315965196,561600,397151,0,1200,93,13,0,1980-01-06T03:06:36
315965196,561600,397151,0,1200,104,13,0,1980-01-06T03:06:36
315965197,761600,398351,0,1200,118,13,0,1980-01-06T03:06:37
315965198,961600,399551,1,1200,129,13,0,1980-01-06T03:06:38
315965200,325000,400751,0,1200,140,13,0,1980-01-06T03:06:40
315965201,525000,401951,0,1200,153,13,0,1980-01-06T03:06:41
315965202,724900,403151,0,1200,164,13,0,1980-01-06T03:06:42
315965202,724900,403151,0,1200,176,13,0,1980-01-06T03:06:42
315965203,924900,404351,0,1200,189,13,0,1980-01-06T03:06:43
315965205,124900,405551,1,1200,200,13,0,1980-01-06T03:06:45
315965206,324900,406751,1,1200,211,13,0,1980-01-06T03:06:46
315965207,524900,407951,0,1200,224,13,0,1980-01-06T03:06:47
315965208,724900,409151,2,1200,236,13,0,1980-01-06T03:06:48
