time_s,time_us,time_steady,state,pump_on,pump_on_time_steady,pump_off,pump_off_time_steady,valve_open,valve_open_time_steady,valve_close,valve_close_time_steady,seq,srcSystem,srcComponent,time_gregorian
315967399,336500,2597577,0,230,2556751,150,2556951,18,2486551,35,2556951,3,13,0,1980-01-06T03:43:19
315967400,336400,2598577,0,230,2556751,150,2556951,18,2486551,35,2556951,15,13,0,1980-01-06T03:43:20
315967401,336400,2599577,0,230,2556751,150,2556951,18,2486551,35,2556951,25,13,0,1980-01-06T03:43:21
315967402,336500,2600577,0,230,2556751,150,2556951,18,2486551,35,2556951,36,13,0,1980-01-06T03:43:22
315967403,336400,2601577,0,230,2556751,150,2556951,18,2486551,35,2556951,47,13,0,1980-01-06T03:43:23
315967404,336400,2602577,0,230,2556751,150,2556951,18,2486551,35,2556951,57,13,0,1980-01-06T03:43:24
315967405,336500,2603577,0,230,2556751,150,2556951,18,2486551,35,2556951,69,13,0,1980-01-06T03:43:25
315967406,336400,2604577,0,230,2556751,150,2556951,18,2486551,35,2556951,80,13,0,1980-01-06T03:43:26
315967407,336400,2605577,0,230,2556751,150,2556951,18,2486551,35,2556951,90,13,0,1980-01-06T03:43:27
315967408,336500,2606577,0,230,2556751,150,2556951,18,2486551,35,2556951,101,13,0,1980-01-06T03:43:28
315967409,336400,2607577,0,230,2556751,150,2556951,18,2486551,35,2556951,112,13,0,1980-01-06T03:43:29
315967410,336400,2608577,0,230,2556751,150,2556951,18,2486551,35,2556951,123,13,0,1980-01-06T03:43:30
315967411,336500,2609577,0,230,2556751,150,2556951,18,2486551,35,2556951,134,13,0,1980-01-06T03:43:31
315967412,336400,2610577,0,230,2556751,150,2556951,18,2486551,35,2556951,145,13,0,1980-01-06T03:43:32
315967413,336400,2611577,0,230,2556751,150,2556951,18,2486551,35,2556951,155,13,0,1980-01-06T03:43:33
315967414,336500,2612577,0,230,2556751,150,2556951,18,2486551,35,2556951,166,13,0,1980-01-06T03:43:34
315967415,336400,2613577,0,230,2556751,150,2556951,18,2486551,35,2556951,178,13,0,1980-01-06T03:43:35
315967416,336400,2614577,0,230,2556751,150,2556951,18,2486551,35,2556951,188,13,0,1980-01-06T03:43:36
315967417,336500,2615577,0,230,2556751,150,2556951,18,2486551,35,2556951,199,13,0,1980-01-06T03:43:37
315967418,336400,2616577,0,230,2556751,150,2556951,18,2486551,35,2556951,210,13,0,1980-01-06T03:43:38
315967419,336400,2617577,0,230,2556751,150,2556951,18,2486551,35,2556951,220,13,0,1980-01-06T03:43:39
315967420,336500,2618577,0,230,2556751,150,2556951,18,2486551,35,2556951,232,13,0,1980-01-06T03:43:40
315967421,336400,2619577,0,230,2556751,150,2556951,18,2486551,35,2556951,243,13,0,1980-01-06T03:43:41
315967422,336400,2620577,0,230,2556751,150,2556951,18,2486551,35,2556951,253,13,0,1980-01-06T03:43:42
315967423,336500,2621577,0,230,2556751,150,2556951,18,2486551,35,2556951,8,13,0,1980-01-06T03:43:43
315967424,336400,2622577,0,230,2556751,150,2556951,18,2486551,35,2556951,19,13,0,1980-01-06T03:43:44
315967425,336400,2623577,0,230,2556751,150,2556951,18,2486551,35,2556951,30,13,0,1980-01-06T03:43:45
