time_s,time_us,time_steady,deg,vdda,vbat,seq,srcSystem,srcComponent,time_gregorian
315968583,905100,3780989,-14.609663963317871,3.311000108718872,3.287912130355835,61,13,0,1980-01-06T04:03:03
315968584,905100,3781989,-14.609663963317871,3.311000108718872,3.294358730316162,71,13,0,1980-01-06T04:03:04
315968585,905100,3782989,-14.609663963317871,3.311000108718872,3.294358730316162,83,13,0,1980-01-06T04:03:05
315968586,905100,3783989,-14.609663963317871,3.311000108718872,3.2863001823425293,94,13,0,1980-01-06T04:03:06
315968587,905100,3784989,-14.609663963317871,3.311000108718872,3.294358730316162,104,13,0,1980-01-06T04:03:07
315968588,905100,3785989,-14.907062530517578,3.311000108718872,3.287912130355835,116,13,0,1980-01-06T04:03:08
315968589,905100,3786989,-14.609663963317871,3.311000108718872,3.287912130355835,126,13,0,1980-01-06T04:03:09
315968590,905100,3787989,-14.907062530517578,3.311000108718872,3.287912130355835,136,13,0,1980-01-06T04:03:10
315968591,905100,3788989,-14.609663963317871,3.311000108718872,3.2814650535583496,149,13,0,1980-01-06T04:03:11
315968592,905100,3789989,-14.609663963317871,3.311000108718872,3.279853582382202,159,13,0,1980-01-06T04:03:12
315968593,905100,3790989,-14.907062530517578,3.311000108718872,3.279853582382202,169,13,0,1980-01-06T04:03:13
315968594,905100,3791989,-14.907062530517578,3.311000108718872,3.2717947959899902,181,13,0,1980-01-06T04:03:14
315968595,905100,3792989,-14.907062530517578,3.311000108718872,3.273406505584717,191,13,0,1980-01-06T04:03:15
315968596,905100,3793989,-14.907062530517578,3.311000108718872,3.284688711166382,202,13,0,1980-01-06T04:03:16
315968597,905100,3794989,-14.907062530517578,3.311000108718872,3.2830770015716553,214,13,0,1980-01-06T04:03:17
315968598,905100,3795989,-14.907062530517578,3.311000108718872,3.273406505584717,224,13,0,1980-01-06T04:03:18
315968599,905100,3796989,-14.907062530517578,3.311000108718872,3.2814650535583496,234,13,0,1980-01-06T04:03:19
315968600,905100,3797989,-14.907062530517578,3.311000108718872,3.2717947959899902,246,13,0,1980-01-06T04:03:20
315968601,905100,3798989,-14.907062530517578,3.311000108718872,3.2895236015319824,1,13,0,1980-01-06T04:03:21
315968602,905100,3799989,-14.907062530517578,3.311000108718872,3.2927472591400146,11,13,0,1980-01-06T04:03:22
315968603,905100,3800989,-14.907062530517578,3.311000108718872,3.302417516708374,23,13,0,1980-01-06T04:03:23
315968604,905100,3801989,-14.907062530517578,3.311000108718872,3.3008058071136475,33,13,0,1980-01-06T04:03:24
315968605,905100,3802989,-14.907062530517578,3.311000108718872,3.299194097518921,43,13,0,1980-01-06T04:03:25
315968606,905100,3803989,-14.907062530517578,3.311000108718872,3.299194097518921,56,13,0,1980-01-06T04:03:26
315968607,905100,3804989,-14.907062530517578,3.311000108718872,3.2895236015319824,66,13,0,1980-01-06T04:03:27
315968608,905100,3805989,-14.907062530517578,3.311000108718872,3.2895236015319824,76,13,0,1980-01-06T04:03:28
315968609,905100,3806989,-14.907062530517578,3.311000108718872,3.2975823879241943,88,13,0,1980-01-06T04:03:29
315968610,905100,3807989,-15.204460144042969,3.311000108718872,3.291135549545288,98,13,0,1980-01-06T04:03:30
315968611,905100,3808989,-15.204460144042969,3.311000108718872,3.2959706783294678,109,13,0,1980-01-06T04:03:31
315968612,905100,3809989,-15.204460144042969,3.311000108718872,3.2975823879241943,121,13,0,1980-01-06T04:03:32
315968613,905100,3810989,-15.204460144042969,3.311000108718872,3.2895236015319824,131,13,0,1980-01-06T04:03:33
315968614,905100,3811989,-15.204460144042969,3.311000108718872,3.287912130355835,141,13,0,1980-01-06T04:03:34
315968615,905100,3812989,-15.204460144042969,3.311000108718872,3.2830770015716553,153,13,0,1980-01-06T04:03:35
315968616,905100,3813989,-15.204460144042969,3.311000108718872,3.2814650535583496,164,13,0,1980-01-06T04:03:36
315968617,905100,3814989,-15.204460144042969,3.311000108718872,3.273406505584717,174,13,0,1980-01-06T04:03:37
315968618,905100,3815989,-15.204460144042969,3.311000108718872,3.2814650535583496,186,13,0,1980-01-06T04:03:38
315968619,905100,3816989,-15.204460144042969,3.311000108718872,3.273406505584717,196,13,0,1980-01-06T04:03:39
315968620,905100,3817989,-15.204460144042969,3.311000108718872,3.2750184535980225,206,13,0,1980-01-06T04:03:40
315968621,905100,3818989,-15.204460144042969,3.311000108718872,3.273406505584717,219,13,0,1980-01-06T04:03:41
315968622,905100,3819989,-15.204460144042969,3.311000108718872,3.2814650535583496,229,13,0,1980-01-06T04:03:42
