time_s,time_us,time_steady,update_time_operator,update_time_radio,last_packet_time,last_packet_rssi,last_packet_snr,last_packet_signal_rssi,last_executed_cmd_seq,radio_error_bits,radio_state,count_packet_recieved,count_crc_errors,count_hdr_errors,count_mavlink_msgs_recieved,count_operator_cmds_recieved,count_operator_cmds_executed,count_operator_errors,seq,srcSystem,srcComponent,time_gregorian
315964928,776345,131003,131003,130963,0,-21,-12,-21,0,0,5,0,0,0,0,0,0,0,137,10,0,1980-01-06T03:02:08
315964929,785788,132013,132003,132013,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,140,10,0,1980-01-06T03:02:09
315964930,776325,133003,133003,132983,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,143,10,0,1980-01-06T03:02:10
315964931,776321,134003,134003,133933,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,146,10,0,1980-01-06T03:02:11
315964932,776345,135003,135003,134993,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,149,10,0,1980-01-06T03:02:12
315964933,776330,136003,136003,135993,0,-21,-12,-21,0,0,5,0,0,0,0,0,0,0,152,10,0,1980-01-06T03:02:13
315964934,776322,137003,137003,136993,0,-21,-12,-21,0,0,5,0,0,0,0,0,0,0,155,10,0,1980-01-06T03:02:14
315964935,786158,138013,138003,138013,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,158,10,0,1980-01-06T03:02:15
315964936,776326,139003,139003,138943,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,161,10,0,1980-01-06T03:02:16
315964937,785939,140013,140003,140013,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,164,10,0,1980-01-06T03:02:17
315964938,785798,141013,141003,141013,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,167,10,0,1980-01-06T03:02:18
315964939,775938,142003,142003,142003,0,-21,-12,-21,0,0,5,0,0,0,0,0,0,0,170,10,0,1980-01-06T03:02:19
315964940,776001,143003,142993,143003,0,-21,-12,-21,0,0,5,0,0,0,0,0,0,0,173,10,0,1980-01-06T03:02:20
315964941,776326,144003,144003,143953,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,176,10,0,1980-01-06T03:02:21
315964942,775933,145003,145003,144993,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,179,10,0,1980-01-06T03:02:22
315964943,776330,146003,146003,145993,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,182,10,0,1980-01-06T03:02:23
315964944,776345,147003,147003,146933,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,185,10,0,1980-01-06T03:02:24
315964945,776325,148003,148003,147983,0,-21,-12,-21,0,0,5,0,0,0,0,0,0,0,188,10,0,1980-01-06T03:02:25
315964946,776247,149003,149003,149003,0,-21,-12,-21,0,0,5,0,0,0,0,0,0,0,191,10,0,1980-01-06T03:02:26
315964947,785785,150013,150003,150013,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,194,10,0,1980-01-06T03:02:27
315964948,785850,151013,151003,151013,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,197,10,0,1980-01-06T03:02:28
315964949,776345,152003,152003,151963,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,200,10,0,1980-01-06T03:02:29
315964950,785805,153013,153003,153013,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,203,10,0,1980-01-06T03:02:30
315964951,776329,154003,154003,153993,0,-21,-12,-21,0,0,5,0,0,0,0,0,0,0,206,10,0,1980-01-06T03:02:31
315964952,776326,155003,155003,154993,0,-21,-12,-21,0,0,5,0,0,0,0,0,0,0,209,10,0,1980-01-06T03:02:32
315964953,776321,156003,156003,155993,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,212,10,0,1980-01-06T03:02:33
315964954,776331,157003,157003,156963,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,215,10,0,1980-01-06T03:02:34
315964955,785794,158013,158003,158013,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,218,10,0,1980-01-06T03:02:35
315964956,775946,159003,159003,158994,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,221,10,0,1980-01-06T03:02:36
315964957,785947,160013,160003,160013,0,-21,-12,-21,0,0,5,0,0,0,0,0,0,0,224,10,0,1980-01-06T03:02:37
315964958,785786,161013,161003,161013,0,-21,-12,-21,0,0,5,0,0,0,0,0,0,0,227,10,0,1980-01-06T03:02:38
315964959,776330,162003,162003,161953,0,-21,-12,-21,0,0,5,0,0,0,0,0,0,0,230,10,0,1980-01-06T03:02:39
315964960,775930,163003,163003,162993,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,233,10,0,1980-01-06T03:02:40
315964961,775926,164003,164003,164003,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,236,10,0,1980-01-06T03:02:41
315964962,776345,165003,165003,164933,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,239,10,0,1980-01-06T03:02:42
315964963,776330,166003,166003,165993,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,242,10,0,1980-01-06T03:02:43
315964964,775979,167003,167003,166993,0,-21,-12,-21,0,0,5,0,0,0,0,0,0,0,245,10,0,1980-01-06T03:02:44
315964965,775930,168003,168003,168003,0,-21,-12,-21,0,0,5,0,0,0,0,0,0,0,248,10,0,1980-01-06T03:02:45
315964966,785806,169013,169003,169013,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,251,10,0,1980-01-06T03:02:46
315964967,776318,170003,170003,169943,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,254,10,0,1980-01-06T03:02:47
315964968,775930,171003,171003,171003,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,1,10,0,1980-01-06T03:02:48
315964969,775930,172003,172003,172003,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,4,10,0,1980-01-06T03:02:49
315964970,785830,173013,173003,173013,0,-21,-12,-21,0,0,5,0,0,0,0,0,0,0,7,10,0,1980-01-06T03:02:50
315964971,776341,174003,174003,173983,0,-21,-12,-21,0,0,5,0,0,0,0,0,0,0,10,10,0,1980-01-06T03:02:51
315964972,776330,175003,175003,174963,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,13,10,0,1980-01-06T03:02:52
315964973,776325,176003,176003,175983,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,16,10,0,1980-01-06T03:02:53
315964974,775959,177003,177003,176993,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,19,10,0,1980-01-06T03:02:54
315964975,776330,178003,178003,177943,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,22,10,0,1980-01-06T03:02:55
315964976,776322,179003,179003,178993,0,-21,-12,-21,0,0,5,0,0,0,0,0,0,0,25,10,0,1980-01-06T03:02:56
315964977,775930,180003,180003,180003,0,-21,-12,-21,0,0,5,0,0,0,0,0,0,0,28,10,0,1980-01-06T03:02:57
315964978,775934,181003,181003,180993,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,31,10,0,1980-01-06T03:02:58
315964979,785831,182013,182003,182013,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,34,10,0,1980-01-06T03:02:59
315964980,776325,183003,183003,182953,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,37,10,0,1980-01-06T03:03:00
315964981,785807,184013,184003,184013,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,40,10,0,1980-01-06T03:03:01
315964982,776232,185003,184993,185003,0,-21,-12,-21,0,0,5,0,0,0,0,0,0,0,43,10,0,1980-01-06T03:03:02
315964983,775926,186003,186003,186003,0,-21,-12,-21,0,0,5,0,0,0,0,0,0,0,46,10,0,1980-01-06T03:03:03
315964984,775965,187003,186993,187003,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,49,10,0,1980-01-06T03:03:04
315964985,776330,188003,188003,187963,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,52,10,0,1980-01-06T03:03:05
315964986,785783,189013,189003,189013,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,55,10,0,1980-01-06T03:03:06
315964987,776330,190003,190003,189983,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,58,10,0,1980-01-06T03:03:07
315964988,775932,191003,191003,190953,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,61,10,0,1980-01-06T03:03:08
315964989,785786,192013,192003,192013,0,-21,-12,-21,0,0,5,0,0,0,0,0,0,0,64,10,0,1980-01-06T03:03:09
315964990,776330,193003,193003,192983,0,-21,-12,-21,0,0,5,0,0,0,0,0,0,0,67,10,0,1980-01-06T03:03:10
315964991,776330,194003,194003,193993,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,70,10,0,1980-01-06T03:03:11
315964992,785944,195013,195013,195013,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,73,10,0,1980-01-06T03:03:12
315964993,776325,196003,196003,195954,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,76,10,0,1980-01-06T03:03:13
315964994,776326,197003,197003,196993,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,79,10,0,1980-01-06T03:03:14
315964995,775961,198003,198003,198003,0,-21,-12,-21,0,0,5,0,0,0,0,0,0,0,82,10,0,1980-01-06T03:03:15
315964996,785790,199013,199003,199013,0,-21,-12,-21,0,0,5,0,0,0,0,0,0,0,85,10,0,1980-01-06T03:03:16
315964999,716683,200013,200003,200013,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,88,10,0,1980-01-06T03:03:19
315965000,707083,201003,201003,200983,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,91,10,0,1980-01-06T03:03:20
315965001,706669,202003,202003,201993,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,94,10,0,1980-01-06T03:03:21
