time_s,time_us,cookie,rssi_pkt,snr_pkt,rssi_signal,time_gregorian,log_timestamp,log_timestamp_gregorian
1633357361,404674,765,-55,12,-56,2021-10-04T17:22:41,1633357361.40764,2021-10-04T17:22:41
1633357361,984451,766,-56,12,-57,2021-10-04T17:22:41,1633357361.987473,2021-10-04T17:22:41
1633357362,584452,767,-57,13,-57,2021-10-04T17:22:42,1633357362.587892,2021-10-04T17:22:42
1633357363,164042,768,-55,12,-56,2021-10-04T17:22:43,1633357363.167033,2021-10-04T17:22:43
1633357363,744766,769,-55,13,-56,2021-10-04T17:22:43,1633357363.747459,2021-10-04T17:22:43
1633357364,324307,770,-56,12,-56,2021-10-04T17:22:44,1633357364.328262,2021-10-04T17:22:44
1633357364,934504,771,-55,13,-55,2021-10-04T17:22:44,1633357364.938091,2021-10-04T17:22:44
1633357367,594170,772,-55,13,-56,2021-10-04T17:22:47,1633357367.598284,2021-10-04T17:22:47
1633357368,184707,773,-57,12,-58,2021-10-04T17:22:48,1633357368.187537,2021-10-04T17:22:48
1633357368,764492,774,-60,12,-59,2021-10-04T17:22:48,1633357368.767254,2021-10-04T17:22:48
1633357369,354129,775,-63,7,-64,2021-10-04T17:22:49,1633357369.357516,2021-10-04T17:22:49
1633357369,964294,776,-64,6,-64,2021-10-04T17:22:49,1633357369.967195,2021-10-04T17:22:49
1633357370,544489,777,-62,7,-63,2021-10-04T17:22:50,1633357370.548598,2021-10-04T17:22:50
1633357371,124053,778,-56,13,-57,2021-10-04T17:22:51,1633357371.127162,2021-10-04T17:22:51
1633357374,404284,779,-56,12,-57,2021-10-04T17:22:54,1633357374.408281,2021-10-04T17:22:54
1633357375,4107,780,-55,12,-56,2021-10-04T17:22:55,1633357375.007664,2021-10-04T17:22:55
1633357375,584320,781,-54,12,-55,2021-10-04T17:22:55,1633357375.587681,2021-10-04T17:22:55
1633357376,174369,782,-57,13,-57,2021-10-04T17:22:56,1633357376.177242,2021-10-04T17:22:56
1633357376,754379,783,-57,13,-58,2021-10-04T17:22:56,1633357376.757854,2021-10-04T17:22:56
1633357377,364083,784,-59,11,-60,2021-10-04T17:22:57,1633357377.367973,2021-10-04T17:22:57
1633357380,44399,785,-60,12,-60,2021-10-04T17:23:00,1633357380.047761,2021-10-04T17:23:00
1633357380,634761,786,-57,13,-58,2021-10-04T17:23:00,1633357380.638329,2021-10-04T17:23:00
1633357381,214118,787,-55,12,-56,2021-10-04T17:23:01,1633357381.218372,2021-10-04T17:23:01
1633357381,805073,788,-55,10,-57,2021-10-04T17:23:01,1633357381.80948,2021-10-04T17:23:01
1633357382,384174,789,-55,12,-55,2021-10-04T17:23:02,1633357382.39097,2021-10-04T17:23:02
1633357382,964526,790,-54,12,-55,2021-10-04T17:23:02,1633357382.968447,2021-10-04T17:23:02
1633357383,544133,791,-53,11,-54,2021-10-04T17:23:03,1633357383.548526,2021-10-04T17:23:03
1633357386,184652,792,-54,13,-54,2021-10-04T17:23:06,1633357386.187638,2021-10-04T17:23:06
1633357386,776108,793,-54,11,-55,2021-10-04T17:23:06,1633357386.778855,2021-10-04T17:23:06
1633357387,374427,794,-54,11,-55,2021-10-04T17:23:07,1633357387.377495,2021-10-04T17:23:07
