time_s,time_us,checksum_valid,cookie,frame_no,rssi_pkt,snr_pkt,rssi_signal,time_gregorian,log_timestamp,log_timestamp_gregorian
1633357361,404311,True,765,357,-55,12,-56,2021-10-04T17:22:41,1633357361.406421,2021-10-04T17:22:41
1633357361,984120,True,766,358,-56,12,-57,2021-10-04T17:22:41,1633357361.986129,2021-10-04T17:22:41
1633357362,584133,True,767,359,-57,13,-57,2021-10-04T17:22:42,1633357362.586467,2021-10-04T17:22:42
1633357363,163962,True,768,360,-55,12,-56,2021-10-04T17:22:43,1633357363.165618,2021-10-04T17:22:43
1633357363,744436,True,769,361,-55,13,-56,2021-10-04T17:22:43,1633357363.746093,2021-10-04T17:22:43
1633357364,323969,True,770,362,-56,12,-56,2021-10-04T17:22:44,1633357364.326292,2021-10-04T17:22:44
1633357364,934178,True,771,363,-55,13,-55,2021-10-04T17:22:44,1633357364.936175,2021-10-04T17:22:44
1633357367,594087,True,772,364,-55,13,-56,2021-10-04T17:22:47,1633357367.596137,2021-10-04T17:22:47
1633357368,184391,True,773,365,-57,12,-58,2021-10-04T17:22:48,1633357368.186079,2021-10-04T17:22:48
1633357368,764009,True,774,366,-60,12,-59,2021-10-04T17:22:48,1633357368.76567,2021-10-04T17:22:48
1633357369,354025,True,775,367,-63,7,-64,2021-10-04T17:22:49,1633357369.355865,2021-10-04T17:22:49
1633357369,963988,True,776,368,-64,6,-64,2021-10-04T17:22:49,1633357369.965647,2021-10-04T17:22:49
1633357370,544153,True,777,369,-62,7,-63,2021-10-04T17:22:50,1633357370.547373,2021-10-04T17:22:50
1633357371,123970,True,778,370,-56,13,-57,2021-10-04T17:22:51,1633357371.125749,2021-10-04T17:22:51
1633357374,403977,True,779,372,-56,12,-57,2021-10-04T17:22:54,1633357374.406166,2021-10-04T17:22:54
1633357375,4028,True,780,373,-55,12,-56,2021-10-04T17:22:55,1633357375.005995,2021-10-04T17:22:55
1633357375,583982,True,781,374,-54,12,-55,2021-10-04T17:22:55,1633357375.586078,2021-10-04T17:22:55
1633357376,174056,True,782,375,-57,13,-57,2021-10-04T17:22:56,1633357376.175775,2021-10-04T17:22:56
1633357376,754048,True,783,376,-57,13,-58,2021-10-04T17:22:56,1633357376.756036,2021-10-04T17:22:56
1633357377,363999,True,784,377,-59,11,-60,2021-10-04T17:22:57,1633357377.365693,2021-10-04T17:22:57
1633357380,44072,True,785,378,-60,12,-60,2021-10-04T17:23:00,1633357380.046075,2021-10-04T17:23:00
1633357380,634681,True,786,379,-57,13,-58,2021-10-04T17:23:00,1633357380.636306,2021-10-04T17:23:00
