time_s,time_us,time_steady,dna_temp,heater_is_on,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
315966416,144400,1615395,15.9132080078125,1,82,13,0,1980-01-06T03:26:56,1633358656.006132,2021-10-04T17:44:16
315966429,144400,1628395,19.32080078125,0,223,13,0,1980-01-06T03:27:09,1633358671.507153,2021-10-04T17:44:31
315966443,144400,1642395,16.6024169921875,1,119,13,0,1980-01-06T03:27:23,1633358684.827225,2021-10-04T17:44:44
315966457,144400,1656395,16.098297119140625,0,16,13,0,1980-01-06T03:27:37,1633358698.126101,2021-10-04T17:44:58
315966469,144400,1668395,18.5948486328125,1,147,13,0,1980-01-06T03:27:49,1633358711.376353,2021-10-04T17:45:11
315966483,144400,1682395,14.733642578125,1,41,13,0,1980-01-06T03:28:03,1633358724.056073,2021-10-04T17:45:24
315966497,144400,1696395,19.699676513671875,0,194,13,0,1980-01-06T03:28:17,1633358737.9358249,2021-10-04T17:45:37
315966511,324900,1710395,16.556884765625,1,91,13,0,1980-01-06T03:28:31,1633358751.166565,2021-10-04T17:45:51
315966525,324900,1724395,18.76690673828125,0,242,13,0,1980-01-06T03:28:45,1633358766.6766238,2021-10-04T17:46:06
315966540,324900,1739395,17.05462646484375,1,149,13,0,1980-01-06T03:29:00,1633358781.805137,2021-10-04T17:46:21
315966553,324900,1752395,17.144378662109375,0,35,13,0,1980-01-06T03:29:13,1633358795.1144688,2021-10-04T17:46:35
315966566,324900,1765395,18.637939453125,1,176,13,0,1980-01-06T03:29:26,1633358807.813937,2021-10-04T17:46:47
315966581,324900,1780395,15.54010009765625,1,83,13,0,1980-01-06T03:29:41,1633358821.672741,2021-10-04T17:47:01
315966594,324900,1793395,18.335296630859375,0,224,13,0,1980-01-06T03:29:54,1633358834.952004,2021-10-04T17:47:14
315966608,324900,1807395,19.066162109375,1,120,13,0,1980-01-06T03:30:08,1633358848.221484,2021-10-04T17:47:28
315966621,324900,1820395,15.68048095703125,1,5,13,0,1980-01-06T03:30:21,1633358863.7314599,2021-10-04T17:47:43
315966635,324900,1834395,18.378692626953125,0,158,13,0,1980-01-06T03:30:35,1633358877.109717,2021-10-04T17:47:57
315966648,324900,1847395,17.233917236328125,1,42,13,0,1980-01-06T03:30:48,1633358889.801256,2021-10-04T17:48:09
315966662,324900,1861395,14.82952880859375,1,195,13,0,1980-01-06T03:31:02,1633358903.1286569,2021-10-04T17:48:23
315966676,324900,1875395,19.783355712890625,0,92,13,0,1980-01-06T03:31:16,1633358917.0579438,2021-10-04T17:48:37
315966690,324900,1889395,15.77374267578125,1,243,13,0,1980-01-06T03:31:30,1633358930.3971848,2021-10-04T17:48:50
315966703,324900,1902395,18.76690673828125,0,129,13,0,1980-01-06T03:31:43,1633358943.676632,2021-10-04T17:49:03
315966716,324900,1915395,18.422027587890625,1,14,13,0,1980-01-06T03:31:56,1633358956.3256729,2021-10-04T17:49:16
315966745,324900,1944395,17.63421630859375,0,74,13,0,1980-01-06T03:32:25,1633358987.094565,2021-10-04T17:49:47
315966760,324900,1959395,19.489654541015625,0,237,13,0,1980-01-06T03:32:40,1633359001.024361,2021-10-04T17:50:01
315966773,324900,1972395,15.304840087890625,1,121,13,0,1980-01-06T03:32:53,1633359014.4036329,2021-10-04T17:50:14
315966786,324900,1985395,15.77374267578125,0,6,13,0,1980-01-06T03:33:06,1633359027.802749,2021-10-04T17:50:27
315966800,455600,1999395,19.615814208984375,0,159,13,0,1980-01-06T03:33:20,1633359041.101961,2021-10-04T17:50:41
315966827,455800,2026395,16.328338623046875,0,196,13,0,1980-01-06T03:33:47,1633359069.192505,2021-10-04T17:51:09
