time_s,time_us,time_steady,rx_packet_start_cnt,rx_packet_done_cnt,rx_cmds_start_cnt,rx_cmds_done_cnt,rx_drops_start_cnt,rx_drops_done_cnt,tx_psize_start_cnt,tx_psize_done_cnt,tx_packet_start_cnt,tx_packet_done_cnt,tx_zeroes_start_cnt,tx_zeroes_done_cnt,tx_empty_buffer_cnt,tx_overruns_cnt,cmds_get_size_cnt,cmds_get_packet_cnt,cmds_set_packet_cnt,cmds_invalid_cnt,restarts_cnt,berr_cnt,arlo_cnt,ovf_cnt,af_cnt,btf_cnt,tx_wrong_size_cnt,rx_wrong_size_cnt,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
315966152,59000,1353606,1217,1217,38202,38202,0,0,13268,13268,13268,13268,0,0,10449,4848,23717,13268,1217,0,0,0,0,0,10449,0,0,0,127,12,0,1980-01-06T03:22:32,1633358395.1364288,2021-10-04T17:39:55
315966166,236000,1367619,1230,1230,38604,38604,0,0,13408,13408,13408,13408,0,0,10558,4942,23966,13408,1230,0,0,0,0,0,10558,0,0,0,91,12,0,1980-01-06T03:22:46,1633358408.316025,2021-10-04T17:40:08
315966180,193000,1381640,1243,1243,39004,39004,0,0,13548,13548,13548,13548,0,0,10665,5052,24213,13548,1243,0,0,0,0,0,10665,0,0,0,71,12,0,1980-01-06T03:23:00,1633358421.4561288,2021-10-04T17:40:21
315966194,149000,1395659,1255,1255,39405,39405,0,0,13688,13688,13688,13688,0,0,10774,5109,24462,13688,1255,0,0,0,0,0,10774,0,0,0,254,12,0,1980-01-06T03:23:14,1633358437.366577,2021-10-04T17:40:37
315966208,481000,1409675,1268,1268,39806,39806,0,0,13828,13828,13828,13828,0,0,10882,5187,24710,13828,1268,0,0,0,0,0,10882,0,0,0,202,12,0,1980-01-06T03:23:28,1633358450.62602,2021-10-04T17:40:50
315966223,417000,1424695,1281,1281,40237,40237,0,0,13979,13979,13979,13979,0,0,10998,5245,24977,13979,1281,0,0,0,0,0,10998,0,0,0,140,12,0,1980-01-06T03:23:43,1633358464.9966009,2021-10-04T17:41:04
315966236,403000,1437717,1293,1293,40607,40607,0,0,14108,14108,14108,14108,0,0,11098,5277,25206,14108,1293,0,0,0,0,0,11098,0,0,0,32,12,0,1980-01-06T03:23:56,1633358478.236249,2021-10-04T17:41:18
315966251,376000,1452739,1307,1307,41039,41039,0,0,14259,14259,14259,14259,0,0,11214,5282,25473,14259,1307,0,0,0,0,0,11214,0,0,0,173,12,0,1980-01-06T03:24:11,1633358491.4961078,2021-10-04T17:41:31
315966264,400000,1465761,1319,1319,41409,41409,0,0,14388,14388,14388,14388,0,0,11314,5285,25702,14388,1319,0,0,0,0,0,11314,0,0,0,36,12,0,1980-01-06T03:24:24,1633358507.4557679,2021-10-04T17:41:47
315966279,386000,1480783,1332,1332,41841,41841,0,0,14539,14539,14539,14539,0,0,11431,5285,25970,14539,1332,0,0,0,0,0,11431,0,0,0,172,12,0,1980-01-06T03:24:39,1633358520.706353,2021-10-04T17:42:00
315966292,423000,1493804,1344,1344,42212,42212,0,0,14668,14668,14668,14668,0,0,11532,5285,26200,14668,1344,0,0,0,0,0,11532,0,0,0,32,12,0,1980-01-06T03:24:52,1633358534.03598,2021-10-04T17:42:14
315966306,462000,1507825,1356,1356,42613,42613,0,0,14808,14808,14808,14808,0,0,11641,5285,26449,14808,1356,0,0,0,0,0,11641,0,0,0,158,12,0,1980-01-06T03:25:06,1633358547.28608,2021-10-04T17:42:27
315966320,500000,1521846,1369,1369,43015,43015,0,0,14948,14948,14948,14948,0,0,11750,5285,26698,14948,1369,0,0,0,0,0,11750,0,0,0,28,12,0,1980-01-06T03:25:20,1633358560.546085,2021-10-04T17:42:40
315966333,321000,1534865,1381,1381,43390,43390,0,0,15079,15079,15079,15079,0,0,11851,5285,26930,15079,1381,0,0,0,0,0,11851,0,0,0,146,12,0,1980-01-06T03:25:33,1633358573.8666768,2021-10-04T17:42:53
315966347,374000,1548887,1394,1394,43793,43793,0,0,15219,15219,15219,15219,0,0,11961,5285,27180,15219,1394,0,0,0,0,0,11961,0,0,0,16,12,0,1980-01-06T03:25:47,1633358589.366808,2021-10-04T17:43:09
315966360,444000,1561908,1405,1405,44163,44163,0,0,15348,15348,15348,15348,0,0,12062,5285,27410,15348,1405,0,0,0,0,0,12062,0,0,0,132,12,0,1980-01-06T03:26:00,1633358602.496392,2021-10-04T17:43:22
315966374,275000,1575932,1418,1418,44565,44565,0,0,15488,15488,15488,15488,0,0,12171,5375,27659,15488,1418,0,0,0,0,0,12171,0,0,0,92,12,0,1980-01-06T03:26:14,1633358615.7066438,2021-10-04T17:43:35
315966387,360000,1588955,1430,1430,44940,44940,0,0,15619,15619,15619,15619,0,0,12272,5496,27891,15619,1430,0,0,0,0,0,12272,0,0,0,75,12,0,1980-01-06T03:26:27,1633358628.9460049,2021-10-04T17:43:48
315966401,423000,1602978,1442,1442,45342,45342,0,0,15759,15759,15759,15759,0,0,12382,5543,28141,15759,1442,0,0,0,0,0,12382,0,0,0,248,12,0,1980-01-06T03:26:41,1633358642.7663329,2021-10-04T17:44:02
315966414,635000,1616066,1454,1454,45714,45714,0,0,15888,15888,15888,15888,0,0,12484,5587,28372,15888,1454,0,0,0,0,0,12484,0,0,0,153,12,0,1980-01-06T03:26:54,1633358655.3858929,2021-10-04T17:44:15
315966424,528000,1626082,1463,1463,45998,45998,0,0,15986,15986,15986,15986,0,0,12563,5731,28549,15986,1463,0,0,0,0,0,12563,0,0,0,130,12,0,1980-01-06T03:27:04,1633358668.6870959,2021-10-04T17:44:28
315966441,572000,1643106,1478,1478,46464,46464,0,0,16145,16145,16145,16145,0,0,12696,5751,28841,16145,1478,0,0,0,0,0,12696,0,0,0,34,12,0,1980-01-06T03:27:21,1633358684.206852,2021-10-04T17:44:44
315966455,669000,1657128,1491,1491,46848,46848,0,0,16276,16276,16276,16276,0,0,12805,5760,29081,16276,1491,0,0,0,0,0,12805,0,0,0,160,12,0,1980-01-06T03:27:35,1633358697.5368009,2021-10-04T17:44:57
315966466,566000,1668146,1501,1501,47156,47156,0,0,16382,16382,16382,16382,0,0,12891,5763,29273,16382,1501,0,0,0,0,0,12891,0,0,0,2,12,0,1980-01-06T03:27:46,1633358710.776036,2021-10-04T17:45:10
315966481,663000,1683168,1515,1515,47579,47579,0,0,16528,16528,16528,16528,0,0,13008,5768,29536,16528,1515,0,0,0,0,0,13008,0,0,0,138,12,0,1980-01-06T03:28:01,1633358724.056073,2021-10-04T17:45:24
