time_s,time_us,time_steady,resets_count,reset_cause,active_oscillator,time_base,time_syncs_attempted,time_syncs_performed,last_time_sync_time_steady,last_time_sync_delta_s,last_time_sync_delta_us,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
315967441,152000,2643702,1,2,1,1,2378,213,2627437,0,250,42,12,0,1980-01-06T03:44:01,1633359681.8847768,2021-10-04T18:01:21
315967454,234000,2656718,1,2,1,1,2390,214,2649610,0,255,177,12,0,1980-01-06T03:44:14,1633359695.213865,2021-10-04T18:01:35
315967468,301000,2670739,1,2,1,1,2403,215,2670705,0,249,52,12,0,1980-01-06T03:44:28,1633359708.483773,2021-10-04T18:01:48
315967482,139000,2684760,1,2,1,1,2415,215,2670705,0,249,179,12,0,1980-01-06T03:44:42,1633359722.323729,2021-10-04T18:02:02
315967495,221000,2697782,1,2,1,1,2427,216,2691751,0,257,40,12,0,1980-01-06T03:44:55,1633359735.553936,2021-10-04T18:02:15
315967509,318000,2711804,1,2,1,1,2440,217,2705068,0,291,166,12,0,1980-01-06T03:45:09,1633359748.1834,2021-10-04T18:02:28
315967522,159000,2724823,1,2,1,1,2451,217,2705068,0,291,28,12,0,1980-01-06T03:45:22,1633359761.512964,2021-10-04T18:02:41
315967536,218000,2738845,1,2,1,1,2464,218,2725076,0,258,154,12,0,1980-01-06T03:45:36,1633359777.0339,2021-10-04T18:02:57
315967549,295000,2751867,1,2,1,1,2476,219,2744990,0,256,14,12,0,1980-01-06T03:45:49,1633359790.362357,2021-10-04T18:03:10
315967563,354000,2765889,1,2,1,1,2488,220,2764922,0,251,140,12,0,1980-01-06T03:46:03,1633359804.162652,2021-10-04T18:03:24
315967577,186000,2779911,1,2,1,1,2501,220,2764922,0,251,13,12,0,1980-01-06T03:46:17,1633359816.841768,2021-10-04T18:03:36
315967590,258000,2792933,1,2,1,1,2513,221,2784845,0,255,218,12,0,1980-01-06T03:46:30,1633359830.111496,2021-10-04T18:03:50
315967604,389000,2806958,1,2,1,1,2525,222,2804805,0,352,156,12,0,1980-01-06T03:46:44,1633359843.311657,2021-10-04T18:04:03
315967617,225000,2819980,1,2,1,1,2537,222,2804805,0,352,40,12,0,1980-01-06T03:46:57,1633359856.561133,2021-10-04T18:04:16
315967631,345000,2834068,1,2,1,1,2550,223,2822501,0,261,225,12,0,1980-01-06T03:47:11,1633359871.9612799,2021-10-04T18:04:31
315967644,406000,2847089,1,2,1,1,2562,224,2841475,0,262,165,12,0,1980-01-06T03:47:24,1633359885.1821039,2021-10-04T18:04:45
