time_s,time_us,time_steady,state,pump_on,pump_on_time_steady,pump_off,pump_off_time_steady,valve_open,valve_open_time_steady,valve_close,valve_close_time_steady,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
315965398,150200,598577,0,5,529551,91,589751,3,519351,5,589751,181,13,0,1980-01-06T03:09:58,1633357641.927316,2021-10-04T17:27:21
315965413,418400,613577,0,5,529551,91,589751,3,519351,5,589751,103,13,0,1980-01-06T03:10:13,1633357654.986733,2021-10-04T17:27:34
315965426,418500,626577,0,5,529551,91,589751,3,519351,5,589751,1,13,0,1980-01-06T03:10:26,1633357668.026929,2021-10-04T17:27:48
315965439,418400,639577,0,5,529551,91,589751,3,519351,5,589751,156,13,0,1980-01-06T03:10:39,1633357681.616976,2021-10-04T17:28:01
315965453,418500,653577,0,5,529551,91,589751,3,519351,5,589751,66,13,0,1980-01-06T03:10:53,1633357694.6167848,2021-10-04T17:28:14
315965467,418400,667577,3,6,665351,91,589751,4,665351,5,589751,231,13,0,1980-01-06T03:11:07,1633357709.736764,2021-10-04T17:28:29
315965481,418400,681577,0,7,675551,120,681551,4,665351,6,675551,142,13,0,1980-01-06T03:11:21,1633357723.347105,2021-10-04T17:28:43
315965495,418500,695577,0,7,675551,190,695551,4,665351,6,675551,52,13,0,1980-01-06T03:11:35,1633357736.947433,2021-10-04T17:28:56
315965508,418400,708577,0,7,675551,255,708551,4,665351,6,675551,207,13,0,1980-01-06T03:11:48,1633357750.048624,2021-10-04T17:29:10
315965522,418500,722577,0,7,675551,37,716151,4,665351,6,675551,116,13,0,1980-01-06T03:12:02,1633357765.787772,2021-10-04T17:29:25
315965536,418400,736577,0,7,675551,38,735751,4,665351,7,735751,26,13,0,1980-01-06T03:12:16,1633357778.8874118,2021-10-04T17:29:38
315965549,418500,749577,0,7,675551,38,735751,4,665351,7,735751,181,13,0,1980-01-06T03:12:29,1633357792.5371568,2021-10-04T17:29:52
315965564,418500,764577,0,7,675551,38,735751,4,665351,7,735751,103,13,0,1980-01-06T03:12:44,1633357805.658529,2021-10-04T17:30:05
315965578,418400,778577,0,7,675551,38,735751,4,665351,7,735751,13,13,0,1980-01-06T03:12:58,1633357819.359652,2021-10-04T17:30:19
315965592,418400,792577,0,7,675551,38,735751,4,665351,7,735751,179,13,0,1980-01-06T03:13:12,1633357834.667093,2021-10-04T17:30:34
315965605,545500,805577,0,7,675551,38,735751,4,665351,7,735751,77,13,0,1980-01-06T03:13:25,1633357848.3671088,2021-10-04T17:30:48
315965619,545500,819577,3,8,813351,38,735751,5,813351,7,735751,244,13,0,1980-01-06T03:13:39,1633357861.3972769,2021-10-04T17:31:01
315965633,545600,833577,0,9,823551,87,833551,5,813351,8,823551,154,13,0,1980-01-06T03:13:53,1633357875.0671399,2021-10-04T17:31:15
315965647,545500,847577,0,9,823551,157,847551,5,813351,8,823551,63,13,0,1980-01-06T03:14:07,1633357888.1069129,2021-10-04T17:31:28
315965675,545600,875577,0,9,823551,172,850551,5,813351,8,823551,140,13,0,1980-01-06T03:14:35,1633357916.9289289,2021-10-04T17:31:56
315965689,545500,889577,0,10,877551,202,883751,5,813351,9,883751,50,13,0,1980-01-06T03:14:49,1633357930.556972,2021-10-04T17:32:10
315965701,545500,901577,0,10,877551,202,883751,5,813351,9,883751,192,13,0,1980-01-06T03:15:01,1633357943.607264,2021-10-04T17:32:23
315965715,545500,915577,0,10,877551,202,883751,5,813351,9,883751,103,13,0,1980-01-06T03:15:15,1633357956.676957,2021-10-04T17:32:36
315965729,545600,929577,0,10,877551,202,883751,5,813351,9,883751,13,13,0,1980-01-06T03:15:29,1633357971.9277198,2021-10-04T17:32:51
315965743,545500,943577,0,10,877551,202,883751,5,813351,9,883751,179,13,0,1980-01-06T03:15:43,1633357985.618084,2021-10-04T17:33:05
315965757,545500,957577,3,11,956351,202,883751,6,956351,9,883751,89,13,0,1980-01-06T03:15:57,1633357999.3173048,2021-10-04T17:33:19
315965771,545600,971577,0,13,966751,225,971551,6,956351,10,966551,255,13,0,1980-01-06T03:16:11,1633358012.4076278,2021-10-04T17:33:32
315965785,545500,985577,0,13,966751,39,985551,6,956351,10,966551,165,13,0,1980-01-06T03:16:25,1633358028.067288,2021-10-04T17:33:48
315965798,545600,998577,0,13,966751,42,986151,6,956351,10,966551,64,13,0,1980-01-06T03:16:38,1633358041.057164,2021-10-04T17:34:01
315965812,545500,1012577,0,13,966751,42,986151,6,956351,10,966551,229,13,0,1980-01-06T03:16:52,1633358054.2068238,2021-10-04T17:34:14
315965826,545500,1026577,0,14,1016151,92,1026551,6,956351,10,966551,140,13,0,1980-01-06T03:17:06,1633358067.91688,2021-10-04T17:34:27
