time_s,time_us,time_steady,temperature,pressure,humidity,altitude,seq,srcSystem,srcComponent,time_gregorian
315966895,212300,2094152,-38.12778663430936,30000.0,16.100494133009484,9177.1826171875,163,13,1,1980-01-06T03:34:55
315966896,212300,2095152,-38.12651841273246,30000.0,16.095264274000982,9177.1826171875,173,13,1,1980-01-06T03:34:56
315966897,212300,2096152,-37.98162397781541,30000.0,16.08442345304115,9177.1826171875,183,13,1,1980-01-06T03:34:57
315966898,212300,2097152,-38.246365271389,30000.0,16.099943128746094,9177.1826171875,195,13,1,1980-01-06T03:34:58
315966899,212300,2098152,-37.09164354263403,30000.0,16.044258864290228,9177.1826171875,205,13,1,1980-01-06T03:34:59
315966900,212300,2099152,-37.09671648820431,30000.0,16.04445946954706,9177.1826171875,216,13,1,1980-01-06T03:35:00
315966901,212300,2100152,-38.16551621790202,30000.0,16.081261034335967,9177.1826171875,228,13,1,1980-01-06T03:35:01
315966902,212300,2101152,-37.15061651691467,30000.0,16.04139855708741,9177.1826171875,238,13,1,1980-01-06T03:35:02
315966903,212300,2102152,-38.22353731083531,30000.0,16.078351200575383,9177.1826171875,248,13,1,1980-01-06T03:35:03
315966904,212300,2103152,-38.395698034632346,30000.0,16.07989216020048,9177.1826171875,4,13,1,1980-01-06T03:35:04
315966905,212300,2104152,-37.20832121711783,30000.0,16.03848439226965,9177.1826171875,15,13,1,1980-01-06T03:35:05
315966906,212300,2105152,-37.184541812255134,30000.0,16.032354170746103,9177.1826171875,25,13,1,1980-01-06T03:35:06
315966907,212300,2106152,-37.1271541555142,30000.0,16.035282742610022,9177.1826171875,37,13,1,1980-01-06T03:35:07
315966908,212300,2107152,-37.116374149540206,30000.0,16.034850500493768,9177.1826171875,47,13,1,1980-01-06T03:35:08
315966909,212300,2108152,-38.16868677041182,30000.0,16.055503230067213,9177.1826171875,57,13,1,1980-01-06T03:35:09
315966910,212300,2109152,-38.39981974214315,30000.0,16.07488687074627,9177.1826171875,70,13,1,1980-01-06T03:35:10
315966911,212300,2110152,-38.28377774955216,30000.0,16.06517654887141,9177.1826171875,80,13,1,1980-01-06T03:35:11
315966912,212300,2111152,-38.02442651612218,30000.0,16.049858374679687,9177.1826171875,90,13,1,1980-01-06T03:35:12
315966913,212300,2112152,-37.23114943976971,30000.0,16.029009179357157,9177.1826171875,102,13,1,1980-01-06T03:35:13
315966914,212300,2113152,-37.22163768104765,30000.0,16.02344231639121,9177.1826171875,112,13,1,1980-01-06T03:35:14
315966915,212300,2114152,-38.315483227129064,30000.0,16.05607214188929,9177.1826171875,123,13,1,1980-01-06T03:35:15
315966916,212300,2115152,-37.27934233490296,30000.0,16.02053819578673,9177.1826171875,135,13,1,1980-01-06T03:35:16
315966917,212300,2116152,-38.26412034774512,30000.0,16.054063985882404,9177.1826171875,145,13,1,1980-01-06T03:35:17
315966918,212300,2117152,-38.30502042078549,30000.0,16.060834064377108,9177.1826171875,155,13,1,1980-01-06T03:35:18
315966919,212300,2118152,-37.25270942241832,30000.0,16.014292515874736,9177.1826171875,167,13,1,1980-01-06T03:35:19
315966920,212300,2119152,-37.243831783140834,30000.0,16.019133580192303,9177.1826171875,178,13,1,1980-01-06T03:35:20
315966921,212300,2120152,-38.243511776642094,30000.0,16.048079306388097,9177.1826171875,188,13,1,1980-01-06T03:35:21
315966922,212300,2121152,-38.060253810034354,30000.0,16.04090398904132,9177.1826171875,200,13,1,1980-01-06T03:35:22
315966923,212300,2122152,-38.22195203557801,30000.0,16.04723858428794,9177.1826171875,210,13,1,1980-01-06T03:35:23
315966924,212300,2123152,-38.10844625328516,30000.0,16.037617982036636,9177.1826171875,220,13,1,1980-01-06T03:35:24
315966925,212300,2124152,-37.438505525629445,30000.0,16.006077949017865,9177.1826171875,233,13,1,1980-01-06T03:35:25
315966926,212300,2125152,-37.394117413597634,30000.0,16.00431881419633,9177.1826171875,243,13,1,1980-01-06T03:35:26
315966927,212300,2126152,-37.38777625291696,30000.0,15.998885242098206,9177.1826171875,253,13,1,1980-01-06T03:35:27
315966928,212300,2127152,-38.24699938132026,30000.0,16.03269197551653,9177.1826171875,9,13,1,1980-01-06T03:35:28
315966929,212300,2128152,-37.404580327726556,30000.0,15.994362756326105,9177.1826171875,19,13,1,1980-01-06T03:35:29
315966930,212300,2129152,-38.1781984272591,30000.0,16.02482237865057,9177.1826171875,30,13,1,1980-01-06T03:35:30
315966931,212300,2130152,-38.305971585049704,30000.0,16.035001448110844,9177.1826171875,42,13,1,1980-01-06T03:35:31
315966932,212300,2131152,-37.35416809371736,30000.0,15.997557078031136,9177.1826171875,52,13,1,1980-01-06T03:35:32
315966933,212300,2132152,-37.31263346422818,30000.0,15.990724021182876,9177.1826171875,62,13,1,1980-01-06T03:35:33
315966934,212300,2133152,-38.144273513153806,30000.0,16.018313265896015,9177.1826171875,74,13,1,1980-01-06T03:35:34
315966935,212300,2134152,-38.21846442991191,30000.0,16.02122421447973,9177.1826171875,85,13,1,1980-01-06T03:35:35
315966936,212300,2135152,-38.169003825656546,30000.0,16.01928639415232,9177.1826171875,95,13,1,1980-01-06T03:35:36
315966937,212300,2136152,-38.409648428508966,30000.0,16.028713029435526,9177.1826171875,107,13,1,1980-01-06T03:35:37
315966938,212300,2137152,-37.96608823656425,30000.0,16.006138708529267,9177.1826171875,117,13,1,1980-01-06T03:35:38
315966939,212300,2138152,-37.35385103555088,30000.0,15.976793276042514,9177.1826171875,127,13,1,1980-01-06T03:35:39
315966940,212300,2139152,-37.387142136823876,30000.0,15.97811553501775,9177.1826171875,140,13,1,1980-01-06T03:35:40
315966941,212300,2140152,-38.41028253726925,30000.0,16.018390385079464,9177.1826171875,150,13,1,1980-01-06T03:35:41
315966942,212300,2141152,-37.36621630320114,30000.0,15.977288211710773,9177.1826171875,160,13,1,1980-01-06T03:35:42
315966943,212300,2142152,-38.28758240746165,30000.0,16.008410551699853,9177.1826171875,172,13,1,1980-01-06T03:35:43
315966944,212300,2143152,-38.17661315118894,30000.0,15.998881349732265,9177.1826171875,182,13,1,1980-01-06T03:35:44
315966945,212300,2144152,-37.34370517362329,30000.0,15.971203846389532,9177.1826171875,193,13,1,1980-01-06T03:35:45
315966946,212300,2145152,-37.31992580516881,30000.0,15.975455073067472,9177.1826171875,205,13,1,1980-01-06T03:35:46
315966947,212300,2146152,-38.33292123495046,30000.0,16.010187139278372,9177.1826171875,215,13,1,1980-01-06T03:35:47
315966948,212300,2147152,-38.21751326470637,30000.0,16.005659727983335,9177.1826171875,225,13,1,1980-01-06T03:35:48
315966949,212300,2148152,-38.260632743742256,30000.0,16.0073533774545,9177.1826171875,237,13,1,1980-01-06T03:35:49
315966950,212300,2149152,-38.117640861184825,30000.0,15.996563864649834,9177.1826171875,248,13,1,1980-01-06T03:35:50
315966951,212300,2150152,-37.275220575162145,30000.0,15.97368295363284,9177.1826171875,2,13,1,1980-01-06T03:35:51
315966952,212300,2151152,-37.28251291918823,30000.0,15.968781261680808,9177.1826171875,14,13,1,1980-01-06T03:35:52
315966953,212300,2152152,-38.34560342029688,30000.0,16.000337367776634,9177.1826171875,24,13,1,1980-01-06T03:35:53
315966954,212300,2153152,-38.27268082971439,30000.0,15.992304354888148,9177.1826171875,34,13,1,1980-01-06T03:35:54
315966955,212300,2154152,-37.334193427008884,30000.0,15.960457665096907,9177.1826171875,47,13,1,1980-01-06T03:35:55
315966956,212300,2155152,-38.21592798934107,30000.0,15.990072071919732,9177.1826171875,57,13,1,1980-01-06T03:35:56
315966957,212300,2156152,-37.31802345541619,30000.0,15.954627288893608,9177.1826171875,67,13,1,1980-01-06T03:35:57
