time_s,time_us,time_steady,deg,vdda,vbat,seq,srcSystem,srcComponent,time_gregorian
315968084,230200,3281989,-16.691448211669922,3.311000108718872,3.242784023284912,15,13,0,1980-01-06T03:54:44
315968085,230200,3282989,-16.691448211669922,3.311000108718872,3.247619152069092,25,13,0,1980-01-06T03:54:45
315968086,230200,3283989,-16.691448211669922,3.311000108718872,3.2411720752716064,36,13,0,1980-01-06T03:54:46
315968087,230200,3284989,-16.691448211669922,3.311000108718872,3.2411720752716064,48,13,0,1980-01-06T03:54:47
315968088,230200,3285989,-16.691448211669922,3.311000108718872,3.242784023284912,58,13,0,1980-01-06T03:54:48
315968089,230200,3286989,-16.691448211669922,3.311000108718872,3.250842571258545,68,13,0,1980-01-06T03:54:49
315968090,230200,3287989,-16.691448211669922,3.311000108718872,3.2524542808532715,80,13,0,1980-01-06T03:54:50
315968091,230200,3288989,-16.691448211669922,3.311000108718872,3.291135549545288,91,13,0,1980-01-06T03:54:51
315968092,230200,3289989,-16.691448211669922,3.311000108718872,3.2895236015319824,101,13,0,1980-01-06T03:54:52
315968093,230200,3290989,-16.691448211669922,3.311000108718872,3.2814650535583496,113,13,0,1980-01-06T03:54:53
315968094,230200,3291989,-16.691448211669922,3.311000108718872,3.2814650535583496,123,13,0,1980-01-06T03:54:54
315968095,230200,3292989,-16.39405059814453,3.311000108718872,3.2830770015716553,133,13,0,1980-01-06T03:54:55
315968096,230200,3293989,-16.39405059814453,3.311000108718872,3.2782416343688965,146,13,0,1980-01-06T03:54:56
315968097,230200,3294989,-16.39405059814453,3.311000108718872,3.2830770015716553,156,13,0,1980-01-06T03:54:57
315968098,230200,3295989,-16.39405059814453,3.311000108718872,3.2830770015716553,166,13,0,1980-01-06T03:54:58
315968099,230200,3296989,-16.691448211669922,3.311000108718872,3.2750184535980225,178,13,0,1980-01-06T03:54:59
315968100,230200,3297989,-16.691448211669922,3.311000108718872,3.2750184535980225,188,13,0,1980-01-06T03:55:00
315968101,230200,3298989,-16.691448211669922,3.311000108718872,3.2814650535583496,199,13,0,1980-01-06T03:55:01
315968102,230200,3299989,-16.39405059814453,3.311000108718872,3.2830770015716553,211,13,0,1980-01-06T03:55:02
315968103,360100,3300989,-16.39405059814453,3.311000108718872,3.2750184535980225,221,13,0,1980-01-06T03:55:03
315968104,360100,3301989,-16.39405059814453,3.311000108718872,3.2830770015716553,231,13,0,1980-01-06T03:55:04
315968105,360100,3302989,-16.39405059814453,3.311000108718872,3.2895236015319824,243,13,0,1980-01-06T03:55:05
315968106,360100,3303989,-16.39405059814453,3.311000108718872,3.2895236015319824,254,13,0,1980-01-06T03:55:06
315968107,360100,3304989,-16.39405059814453,3.311000108718872,3.2895236015319824,8,13,0,1980-01-06T03:55:07
315968108,360100,3305989,-16.39405059814453,3.311000108718872,3.2959706783294678,20,13,0,1980-01-06T03:55:08
315968109,360100,3306989,-16.39405059814453,3.311000108718872,3.2959706783294678,30,13,0,1980-01-06T03:55:09
