time_s,time_us,time_steady,resets_count,reset_cause,active_oscillator,time_base,time_syncs_attempted,time_syncs_performed,last_time_sync_time_steady,last_time_sync_delta_s,last_time_sync_delta_us,seq,srcSystem,srcComponent,time_gregorian
315965143,957300,344577,1,2,0,1,307,3,200148,1,900425,238,13,0,1980-01-06T03:05:43
315965146,957300,347577,1,2,0,1,310,3,200148,1,900425,17,13,0,1980-01-06T03:05:46
315965149,957300,350577,1,2,0,1,312,3,200148,1,900425,53,13,0,1980-01-06T03:05:49
315965152,957300,353577,1,2,0,1,315,3,200148,1,900425,89,13,0,1980-01-06T03:05:52
315965155,957300,356577,1,2,0,1,318,3,200148,1,900425,124,13,0,1980-01-06T03:05:55
315965158,957300,359577,1,2,0,1,320,3,200148,1,900425,160,13,0,1980-01-06T03:05:58
315965161,957300,362577,1,2,0,1,323,3,200148,1,900425,195,13,0,1980-01-06T03:06:01
315965164,957300,365577,1,2,0,1,326,3,200148,1,900425,231,13,0,1980-01-06T03:06:04
315965167,957300,368577,1,2,0,1,329,3,200148,1,900425,11,13,0,1980-01-06T03:06:07
315965170,957300,371577,1,2,0,1,331,3,200148,1,900425,46,13,0,1980-01-06T03:06:10
315965173,957300,374577,1,2,0,1,334,3,200148,1,900425,82,13,0,1980-01-06T03:06:13
315965176,957300,377577,1,2,0,1,337,3,200148,1,900425,117,13,0,1980-01-06T03:06:16
315965179,957300,380577,1,2,0,1,339,3,200148,1,900425,153,13,0,1980-01-06T03:06:19
315965182,957300,383577,1,2,0,1,342,3,200148,1,900425,189,13,0,1980-01-06T03:06:22
315965185,957300,386577,1,2,0,1,345,3,200148,1,900425,224,13,0,1980-01-06T03:06:25
315965188,957300,389577,1,2,0,1,348,3,200148,1,900425,4,13,0,1980-01-06T03:06:28
315965191,957300,392577,1,2,0,1,350,3,200148,1,900425,39,13,0,1980-01-06T03:06:31
315965194,957300,395577,1,2,0,1,353,3,200148,1,900425,75,13,0,1980-01-06T03:06:34
315965197,957300,398577,1,2,0,1,356,3,200148,1,900425,111,13,0,1980-01-06T03:06:37
315965200,957300,401577,1,2,0,1,358,3,200148,1,900425,146,13,0,1980-01-06T03:06:40
315965203,957300,404577,1,2,0,1,361,3,200148,1,900425,182,13,0,1980-01-06T03:06:43
315965206,957300,407577,1,2,0,1,364,3,200148,1,900425,217,13,0,1980-01-06T03:06:46
315965209,957300,410577,1,2,0,1,367,3,200148,1,900425,253,13,0,1980-01-06T03:06:49
315965212,957300,413577,1,2,0,1,369,3,200148,1,900425,33,13,0,1980-01-06T03:06:52
315965215,957300,416577,1,2,0,1,372,3,200148,1,900425,68,13,0,1980-01-06T03:06:55
315965218,957300,419577,1,2,0,1,375,3,200148,1,900425,104,13,0,1980-01-06T03:06:58
315965221,957300,422577,1,2,0,1,377,3,200148,1,900425,139,13,0,1980-01-06T03:07:01
315965224,957300,425577,1,2,0,1,380,3,200148,1,900425,175,13,0,1980-01-06T03:07:04
315965227,957300,428577,1,2,0,1,383,3,200148,1,900425,211,13,0,1980-01-06T03:07:07
315965230,957300,431577,1,2,0,1,386,3,200148,1,900425,246,13,0,1980-01-06T03:07:10
315965233,957300,434577,1,2,0,1,388,3,200148,1,900425,26,13,0,1980-01-06T03:07:13
3,576600,2577,1,2,0,0,0,0,0,0,0,19,13,0,1970-01-01T03:00:03
5,287600,5577,1,2,0,0,1,1,5548,-2,711023,55,13,0,1970-01-01T03:00:05
315964806,55900,8577,1,2,0,1,3,2,6548,315964797,768336,91,13,0,1980-01-06T03:00:06
315964809,55900,11577,1,2,0,1,6,2,6548,315964797,768336,126,13,0,1980-01-06T03:00:09
