time_s,time_us,time_steady,count_tick,delta_time,seq,srcSystem,srcComponent,time_gregorian
315964941,431600,143951,11,75600,165,13,1,1980-01-06T03:02:21
315964942,631600,145151,11,75600,176,13,1,1980-01-06T03:02:22
315964942,631600,145151,11,75600,187,13,1,1980-01-06T03:02:22
315964943,831600,146351,11,75600,200,13,1,1980-01-06T03:02:23
315964945,31600,147551,12,75600,211,13,1,1980-01-06T03:02:25
315964946,231600,148751,11,75600,223,13,1,1980-01-06T03:02:26
315964947,431600,149951,10,75600,236,13,1,1980-01-06T03:02:27
315964948,631600,151151,10,75600,247,13,1,1980-01-06T03:02:28
315964948,631600,151151,10,75600,2,13,1,1980-01-06T03:02:28
315964949,831600,152351,10,75600,15,13,1,1980-01-06T03:02:29
315964951,31600,153551,10,75600,27,13,1,1980-01-06T03:02:31
315964952,231600,154751,10,75600,38,13,1,1980-01-06T03:02:32
315964953,431700,155951,10,75600,51,13,1,1980-01-06T03:02:33
315964954,631700,157151,9,75600,62,13,1,1980-01-06T03:02:34
315964954,631700,157151,9,75600,73,13,1,1980-01-06T03:02:34
315964955,831600,158351,9,75600,87,13,1,1980-01-06T03:02:35
315964957,31600,159551,8,75600,98,13,1,1980-01-06T03:02:37
315964958,231600,160751,8,75600,109,13,1,1980-01-06T03:02:38
315964959,431600,161951,9,75600,122,13,1,1980-01-06T03:02:39
315964960,631600,163151,9,75600,133,13,1,1980-01-06T03:02:40
315964960,631600,163151,9,75600,145,13,1,1980-01-06T03:02:40
315964961,831600,164351,8,75600,158,13,1,1980-01-06T03:02:41
315964963,31600,165551,8,75600,169,13,1,1980-01-06T03:02:43
315964964,231600,166751,8,75600,180,13,1,1980-01-06T03:02:44
315964965,431600,167951,7,75600,193,13,1,1980-01-06T03:02:45
315964966,631600,169151,7,75600,205,13,1,1980-01-06T03:02:46
315964966,631600,169151,7,75600,216,13,1,1980-01-06T03:02:46
315964967,831700,170351,7,75600,229,13,1,1980-01-06T03:02:47
315964969,31700,171551,8,75600,240,13,1,1980-01-06T03:02:49
315964970,231600,172751,7,75600,251,13,1,1980-01-06T03:02:50
315964971,431600,173951,7,75600,9,13,1,1980-01-06T03:02:51
315964972,631600,175151,7,75600,20,13,1,1980-01-06T03:02:52
315964972,631600,175151,7,75600,31,13,1,1980-01-06T03:02:52
