time_s,time_us,time_steady,temperature,seq,srcSystem,srcComponent,time_gregorian
315964932,361000,135074,15.3125,241,12,2,1980-01-06T03:02:12
315964933,321000,136073,15.3125,251,12,2,1980-01-06T03:02:13
315964934,283000,137075,15.3125,3,12,2,1980-01-06T03:02:14
315964935,243000,138074,15.3125,13,12,2,1980-01-06T03:02:15
315964936,201000,139072,15.375,21,12,2,1980-01-06T03:02:16
315964937,161000,140072,15.3125,31,12,2,1980-01-06T03:02:17
315964938,433000,141074,15.375,39,12,2,1980-01-06T03:02:18
315964939,392000,142074,15.375,49,12,2,1980-01-06T03:02:19
315964940,354000,143076,15.375,57,12,2,1980-01-06T03:02:20
315964941,313000,144075,15.375,67,12,2,1980-01-06T03:02:21
315964942,273000,145074,15.375,95,12,2,1980-01-06T03:02:22
315964943,235000,146077,15.375,105,12,2,1980-01-06T03:02:23
315964944,192000,147072,15.375,137,12,2,1980-01-06T03:02:24
315964945,154000,148076,15.375,147,12,2,1980-01-06T03:02:25
315964946,423000,149074,15.375,169,12,2,1980-01-06T03:02:26
315964947,381000,150073,15.375,178,12,2,1980-01-06T03:02:27
315964948,342000,151072,15.375,217,12,2,1980-01-06T03:02:28
315964949,304000,152076,15.375,226,12,2,1980-01-06T03:02:29
315964950,264000,153074,15.4375,237,12,2,1980-01-06T03:02:30
315964951,222000,154072,15.4375,245,12,2,1980-01-06T03:02:31
315964952,183000,155072,15.4375,18,12,2,1980-01-06T03:02:32
315964953,456000,156074,15.4375,26,12,2,1980-01-06T03:02:33
315964954,417000,157075,15.4375,66,12,2,1980-01-06T03:02:34
315964955,375000,158073,15.4375,74,12,2,1980-01-06T03:02:35
315964956,335000,159072,15.4375,90,12,2,1980-01-06T03:02:36
315964957,297000,160074,15.4375,98,12,2,1980-01-06T03:02:37
315964958,257000,161074,15.4375,131,12,2,1980-01-06T03:02:38
315964959,215000,162072,15.5,139,12,2,1980-01-06T03:02:39
315964960,175000,163072,15.4375,154,12,2,1980-01-06T03:02:40
315964961,448000,164074,15.5,162,12,2,1980-01-06T03:02:41
315964962,408000,165074,15.5,196,12,2,1980-01-06T03:02:42
315964963,366000,166072,15.5,204,12,2,1980-01-06T03:02:43
315964964,326000,167072,15.5,227,12,2,1980-01-06T03:02:44
315964965,288000,168074,15.5,235,12,2,1980-01-06T03:02:45
315964966,248000,169074,15.5,245,12,2,1980-01-06T03:02:46
315964967,210000,170075,15.5,253,12,2,1980-01-06T03:02:47
315964968,170000,171075,15.5,18,12,2,1980-01-06T03:02:48
315964969,419000,172073,15.5,26,12,2,1980-01-06T03:02:49
315964970,380000,173073,15.5,56,12,2,1980-01-06T03:02:50
315964971,342000,174075,15.5,64,12,2,1980-01-06T03:02:51
315964972,301000,175075,15.5,79,12,2,1980-01-06T03:02:52
315964973,260000,176073,15.5625,87,12,2,1980-01-06T03:02:53
315964974,220000,177073,15.5625,111,12,2,1980-01-06T03:02:54
315964975,182000,178075,15.5625,119,12,2,1980-01-06T03:02:55
315964976,142000,179075,15.5625,153,12,2,1980-01-06T03:02:56
315964977,431000,180073,15.5625,161,12,2,1980-01-06T03:02:57
315964978,391000,181073,15.5625,177,12,2,1980-01-06T03:02:58
315964979,353000,182075,15.5625,185,12,2,1980-01-06T03:02:59
315964980,314000,183075,15.5625,213,12,2,1980-01-06T03:03:00
315964981,272000,184073,15.5625,221,12,2,1980-01-06T03:03:01
315964982,232000,185072,15.5625,231,12,2,1980-01-06T03:03:02
315964983,194000,186074,15.625,239,12,2,1980-01-06T03:03:03
315964984,464000,187075,15.625,16,12,2,1980-01-06T03:03:04
315964985,422000,188073,15.625,24,12,2,1980-01-06T03:03:05
315964986,382000,189073,15.625,42,12,2,1980-01-06T03:03:06
315964987,344000,190074,15.625,50,12,2,1980-01-06T03:03:07
315964988,304000,191074,15.625,60,12,2,1980-01-06T03:03:08
315964989,262000,192072,15.625,68,12,2,1980-01-06T03:03:09
315964990,226000,193076,15.625,88,12,2,1980-01-06T03:03:10
315964991,184000,194074,15.625,96,12,2,1980-01-06T03:03:11
315964992,454000,195074,15.625,125,12,2,1980-01-06T03:03:12
315964993,412000,196072,15.625,133,12,2,1980-01-06T03:03:13
315964994,376000,197076,15.6875,144,12,2,1980-01-06T03:03:14
315964995,334000,198074,15.6875,152,12,2,1980-01-06T03:03:15
315964996,294000,199074,15.6875,181,12,2,1980-01-06T03:03:16
315964997,256000,200076,15.6875,189,12,2,1980-01-06T03:03:17
315964998,216000,201075,15.6875,205,12,2,1980-01-06T03:03:18
315964999,175000,202073,15.6875,213,12,2,1980-01-06T03:03:19
315965001,586000,203074,15.6875,242,12,2,1980-01-06T03:03:21
315965002,548000,204076,15.6875,250,12,2,1980-01-06T03:03:22
315965003,508000,205075,15.6875,9,12,2,1980-01-06T03:03:23
315965004,466000,206074,15.6875,17,12,2,1980-01-06T03:03:24
315965005,426000,207074,15.75,42,12,2,1980-01-06T03:03:25
315965007,369000,208076,15.75,50,12,2,1980-01-06T03:03:27
315965008,329000,209075,15.75,60,12,2,1980-01-06T03:03:28
315965009,287000,210073,15.75,68,12,2,1980-01-06T03:03:29
315965010,247000,211073,15.75,92,12,2,1980-01-06T03:03:30
315965011,209000,212075,15.75,100,12,2,1980-01-06T03:03:31
315965012,169000,213075,15.75,111,12,2,1980-01-06T03:03:32
315965013,127000,214073,15.75,119,12,2,1980-01-06T03:03:33
315965014,88000,215073,15.75,145,12,2,1980-01-06T03:03:34
315965015,361000,216075,15.75,153,12,2,1980-01-06T03:03:35
315965016,320000,217074,15.8125,165,12,2,1980-01-06T03:03:36
315965017,279000,218072,15.8125,173,12,2,1980-01-06T03:03:37
315965018,239000,219072,15.8125,198,12,2,1980-01-06T03:03:38
315965019,201000,220074,15.8125,206,12,2,1980-01-06T03:03:39
315965020,161000,221074,15.8125,216,12,2,1980-01-06T03:03:40
315965021,123000,222076,15.8125,224,12,2,1980-01-06T03:03:41
315965022,84000,223076,15.8125,243,12,2,1980-01-06T03:03:42
315965023,352000,224074,15.8125,251,12,2,1980-01-06T03:03:43
315965024,313000,225074,15.8125,19,12,2,1980-01-06T03:03:44
315965025,275000,226076,15.8125,27,12,2,1980-01-06T03:03:45
315965026,235000,227075,15.8125,40,12,2,1980-01-06T03:03:46
315965027,193000,228073,15.875,48,12,2,1980-01-06T03:03:47
315965028,153000,229073,15.875,72,12,2,1980-01-06T03:03:48
315965029,115000,230075,15.875,80,12,2,1980-01-06T03:03:49
315965030,75000,231075,15.875,90,12,2,1980-01-06T03:03:50
315965031,343000,232073,15.875,98,12,2,1980-01-06T03:03:51
315965032,303000,233073,15.875,123,12,2,1980-01-06T03:03:52
315965033,266000,234075,15.9375,131,12,2,1980-01-06T03:03:53
315965034,226000,235074,15.9375,148,12,2,1980-01-06T03:03:54
315965035,184000,236072,15.9375,156,12,2,1980-01-06T03:03:55
315965036,144000,237072,15.9375,180,12,2,1980-01-06T03:03:56
315965037,106000,238074,15.9375,188,12,2,1980-01-06T03:03:57
315965038,375000,239074,16.0,204,12,2,1980-01-06T03:03:58
315965039,337000,240076,16.0,212,12,2,1980-01-06T03:03:59
315965040,296000,241075,16.0,222,12,2,1980-01-06T03:04:00
315965041,255000,242073,16.0,230,12,2,1980-01-06T03:04:01
315965042,215000,243073,16.0,240,12,2,1980-01-06T03:04:02
315965043,177000,244075,16.0625,248,12,2,1980-01-06T03:04:03
315965044,137000,245075,16.0625,16,12,2,1980-01-06T03:04:04
315965045,96000,246073,16.0625,24,12,2,1980-01-06T03:04:05
315965046,368000,247073,16.0625,37,12,2,1980-01-06T03:04:06
315965047,330000,248075,16.125,45,12,2,1980-01-06T03:04:07
315965048,291000,249074,16.125,63,12,2,1980-01-06T03:04:08
315965049,249000,250072,16.125,71,12,2,1980-01-06T03:04:09
315965050,213000,251076,16.125,81,12,2,1980-01-06T03:04:10
315965051,171000,252074,16.125,89,12,2,1980-01-06T03:04:11
315965052,131000,253073,16.1875,104,12,2,1980-01-06T03:04:12
315965053,94000,254075,16.1875,112,12,2,1980-01-06T03:04:13
315965054,363000,255075,16.1875,122,12,2,1980-01-06T03:04:14
315965055,321000,256073,16.1875,130,12,2,1980-01-06T03:04:15
315965056,281000,257072,16.25,140,12,2,1980-01-06T03:04:16
